Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,1160.89,1226.93,1191.40,17.75,52.208,50000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1147.69,1210.91,1182.51,22.72,185.729,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:3,1128.46,1209.89,1153.54,21.97,250.914,200000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1132.60,1185.89,1156.98,16.53,424.480,400000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1120.40,1183.23,1148.43,20.70,11010.489,1000000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:3,1111.89,1145.38,1128.91,11.13,11263.217,800000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:3,1113.20,1156.75,1141.80,12.15,1119.560,400000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:3,1113.97,1165.27,1143.66,16.97,12081.904,1600000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1122.37,1153.75,1132.72,9.57,1605.366,500000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:3,1126.48,1147.72,1135.38,6.58,3833.034,1600000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1114.34,1159.17,1131.85,14.40,4072.845,2000000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:3,1106.05,1160.88,1123.65,16.60,24862.657,3200000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:3,1120.20,1190.24,1146.58,18.81,37341.685,4000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,1109.52,1150.45,1128.94,11.58,26626.960,4000000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:3,1109.32,1146.88,1127.50,11.76,59513.917,8000000
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1108.37,1132.22,1119.38,7.85,63370.880,10000000
