Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:1,1256.03,1533.39,1376.29,75.32,0.544,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,1243.09,1516.84,1369.10,86.96,0.590,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:5,1241.94,1459.82,1325.89,71.79,0.569,50000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:1,1112.47,1270.53,1202.55,47.87,2.157,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1162.80,1236.81,1190.04,20.71,2.111,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:5,1052.59,1303.36,1175.85,71.11,2.072,200000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:1,953.63,1153.90,1069.95,64.21,4.321,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1013.85,1139.93,1084.74,40.71,4.136,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:5,1001.41,1103.04,1039.55,28.28,4.183,400000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:1,946.96,1048.22,996.31,34.53,11.249,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,897.94,1164.04,1018.60,77.54,11.185,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:5,916.00,1059.78,1003.98,43.28,9.932,1000000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:1,1060.61,1205.70,1129.68,51.40,2.399,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:3,1098.38,1219.49,1160.15,36.80,2.672,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:5,1063.26,1177.84,1110.49,34.02,2.639,200000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:1,969.12,1177.59,1105.53,70.62,10.533,800000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:3,923.85,1037.21,972.91,33.99,9.223,800000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:5,926.96,1012.33,969.87,25.40,9.490,800000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:1,845.73,963.47,934.00,33.73,17.111,1600000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:3,893.54,1079.29,994.49,55.54,18.310,1600000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:5,920.26,1073.89,1004.75,40.75,15.805,1600000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:1,930.22,1098.86,1018.18,47.85,38.315,4000000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:3,930.81,1156.04,1028.01,64.96,37.879,4000000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:5,893.26,1102.73,1020.37,56.09,70.454,4000000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:1,932.83,1155.21,1052.31,66.30,6.117,400000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:3,970.16,1114.54,1047.11,43.41,6.077,400000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:5,953.10,1108.13,1045.91,56.15,5.453,400000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:1,887.92,1013.08,944.86,32.05,20.330,1600000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:3,863.62,1053.96,959.16,52.40,18.934,1600000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:5,881.32,1022.22,961.59,46.90,18.386,1600000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:1,956.05,1049.05,989.08,28.02,34.020,3200000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:3,918.71,1068.85,996.33,46.94,32.897,3200000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:5,963.09,1078.07,1008.73,39.26,31.789,3200000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:1,861.67,985.93,922.30,39.99,78.873,8000000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:3,896.77,1014.53,959.66,38.73,83.578,8000000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:5,882.67,1055.22,967.38,46.22,87.136,8000000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:1,925.36,1047.66,997.98,34.64,7.494,500000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,898.18,1051.76,999.21,44.93,6.868,500000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:5,925.31,1046.14,991.84,36.98,7.787,500000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:1,915.27,1058.33,983.07,33.97,23.156,2000000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,938.78,1042.88,979.93,32.49,23.878,2000000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:5,889.53,1081.13,975.93,48.29,22.391,2000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:1,885.94,978.37,920.34,28.12,45.146,4000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,943.45,1000.67,972.10,21.93,44.178,4000000
