Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:1,1362.29,1526.87,1429.53,53.06,0.512,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,1331.51,1521.47,1430.10,75.19,0.514,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:5,1302.69,1594.67,1454.29,77.67,0.568,50000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:1,1174.57,1351.38,1254.94,56.91,2.131,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1159.94,1331.07,1242.70,56.42,1.968,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:5,1137.20,1291.60,1222.79,44.10,1.960,200000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:1,1086.49,1267.91,1161.04,57.31,4.742,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1061.10,1201.17,1146.22,44.03,4.053,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:5,1088.95,1317.07,1191.60,69.68,4.048,400000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:1,1032.99,1271.26,1113.83,69.32,11.234,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1043.68,1159.92,1112.16,32.05,10.887,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:5,1079.03,1162.58,1113.22,29.39,9.800,1000000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:1,1115.98,1295.07,1192.99,55.83,2.580,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:3,1127.04,1249.45,1200.17,38.33,2.432,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:5,1181.35,1293.24,1229.87,36.69,2.100,200000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:1,1067.86,1256.61,1147.21,54.98,6.739,800000
