Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:1,2018.53,2149.34,2113.23,43.94,0.200,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,2005.00,2399.08,2207.24,122.44,0.201,50000
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:5,2074.83,2496.16,2183.40,119.69,0.194,50000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:1,1775.50,2001.15,1849.34,70.02,0.846,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1670.02,1909.62,1803.28,79.57,0.738,200000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:5,1647.66,1988.71,1861.64,92.89,0.746,200000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:1,1538.74,1832.86,1665.93,84.75,1.901,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1500.56,1710.47,1633.59,62.37,1.506,400000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:5,1535.89,1728.91,1655.01,51.78,1.547,400000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:1,1333.39,1627.82,1453.87,101.38,4.052,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1366.91,1648.09,1483.04,97.88,4.020,1000000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:5,1359.15,1574.99,1461.63,61.80,3.962,1000000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:1,1545.41,1915.04,1778.47,96.75,0.884,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:3,1614.99,1826.33,1741.45,69.42,0.832,200000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:5,1645.46,1901.97,1760.92,72.47,0.802,200000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:1,1685.64,1879.03,1777.82,67.62,4.619,800000
