Generation,Best,Average,Worst
0,3041.10,3555.23,4049.04
1,3013.83,3479.09,4166.49
2,2902.94,3415.18,3933.19
3,2902.23,3367.65,4062.98
4,2822.43,3307.67,3860.05
5,2822.43,3268.23,3978.05
6,2762.60,3231.49,3811.99
7,2762.60,3197.25,3770.54
8,2640.74,3147.30,3753.78
9,2556.96,3123.65,3743.52
10,2556.96,3073.65,3608.53
11,2556.96,3038.66,3665.42
12,2470.22,3010.06,3559.11
13,2470.22,2988.16,3497.72
14,2470.22,2960.81,3579.09
15,2435.22,2926.30,3581.57
16,2256.64,2902.47,3488.87
17,2256.64,2884.07,3497.19
18,2256.64,2857.74,3685.52
19,2256.64,2846.52,3407.66
20,2256.64,2825.38,3399.46
21,2256.64,2814.99,3460.70
22,2256.64,2801.99,3477.46
23,2244.92,2770.11,3315.47
24,2244.92,2757.13,3404.52
25,2244.92,2741.66,3361.76
26,2244.92,2740.06,3401.85
27,2184.13,2728.56,3372.31
28,2184.13,2716.13,3476.42
29,2184.13,2655.04,3378.71
30,2149.65,2559.58,3195.50
31,2149.65,2474.54,3301.81
32,2149.65,2437.12,3043.09
33,2141.22,2426.69,3069.97
34,2109.30,2391.77,3101.58
35,2088.52,2306.79,3014.08
36,2088.52,2207.42,2839.50
37,2085.91,2213.33,2939.85
38,2072.23,2215.71,2926.43
39,2060.61,2238.78,3007.41
40,2030.05,2241.76,2977.65
41,2030.05,2243.03,2901.07
42,2006.00,2209.14,2911.38
43,1983.69,2197.76,2846.61
44,1983.69,2170.43,2957.71
45,1980.77,2157.68,2915.22
46,1980.77,2113.33,2973.68
47,1974.34,2071.08,2922.65
48,1973.54,2124.74,2923.69
49,1970.23,2150.54,2902.02
