Generation,Best,Average,Worst
0,3028.82,3563.84,4077.84
1,2938.06,3469.39,4050.73
2,2868.69,3413.03,3964.28
3,2806.14,3352.75,3888.94
4,2789.75,3290.76,3988.31
5,2566.71,3226.78,3786.69
6,2566.71,3145.53,3816.18
7,2566.71,3092.77,3704.33
8,2566.71,3054.71,3658.20
9,2566.71,3009.56,3531.82
10,2476.62,2985.74,3733.89
11,2476.62,2953.09,3473.98
12,2459.94,2929.52,3517.69
13,2407.22,2912.84,3549.88
14,2407.22,2869.58,3575.95
15,2404.67,2837.92,3470.98
16,2321.13,2811.76,3408.63
17,2285.13,2788.67,3361.69
18,2278.78,2759.36,3384.49
19,2278.78,2732.77,3479.33
20,2252.51,2709.11,3335.66
21,2144.88,2694.50,3292.32
22,2144.88,2670.89,3355.98
23,2144.88,2650.02,3279.82
24,2144.88,2627.29,3315.18
25,2130.43,2615.13,3346.95
26,2130.43,2590.59,3281.83
27,2130.43,2573.73,3273.47
28,2128.01,2540.82,3182.93
29,2128.01,2510.88,3166.94
30,2128.01,2479.25,3154.47
31,2106.28,2436.30,3253.65
32,2106.28,2390.87,3167.77
33,2106.28,2360.88,3142.49
34,2077.92,2351.33,3195.41
35,2077.92,2346.61,3129.08
36,2074.00,2323.61,3149.31
37,2065.57,2268.58,3173.54
38,2060.88,2197.41,3105.64
39,2036.40,2169.60,3051.89
40,2034.03,2157.54,2974.18
41,2028.98,2144.15,3037.67
42,2027.36,2122.98,3021.45
43,2027.36,2097.60,2973.61
44,2004.15,2083.57,2904.87
45,2002.52,2099.30,3044.25
46,2002.52,2111.23,2959.63
47,1987.88,2111.03,2978.56
48,1987.88,2057.15,2919.75
49,1959.23,2028.84,2802.99
50,1949.36,2021.82,2895.80
51,1944.59,2002.21,2744.19
52,1944.59,2020.27,2845.98
53,1936.69,2045.46,2924.45
54,1925.57,2025.46,2788.64
55,1917.26,1980.88,2840.59
56,1917.26,1976.01,2919.61
57,1917.26,1976.81,2801.32
58,1904.06,1991.30,2778.33
59,1904.06,1995.07,2832.01
60,1904.06,1965.60,2833.24
61,1904.06,1967.00,2878.63
62,1904.06,1996.82,2928.03
63,1904.06,1987.35,2994.43
64,1904.06,1967.49,2763.08
65,1880.90,2020.88,2892.15
66,1880.66,2058.43,2989.07
67,1880.66,2013.73,2887.61
68,1880.66,2053.00,2917.44
69,1866.72,2093.71,2879.17
70,1866.72,2134.37,2834.53
71,1862.93,2130.01,3000.64
72,1860.86,2062.88,2860.76
73,1848.99,1939.26,2764.36
74,1845.26,1893.96,2790.85
75,1845.26,1908.36,2842.69
76,1844.11,1922.28,2783.86
77,1843.87,1889.57,2770.32
78,1843.87,1868.66,2709.61
79,1842.72,1858.11,2620.14
80,1842.72,1868.51,2635.46
81,1842.72,1873.93,2652.68
82,1842.72,1910.46,2612.05
83,1842.72,1894.62,2620.00
84,1842.72,1853.59,2748.47
85,1842.72,1848.44,2471.86
86,1820.44,1848.62,2716.47
87,1820.44,1850.93,2753.97
88,1820.44,1864.15,2575.39
89,1820.44,1879.76,2602.80
90,1817.86,1908.36,2656.41
91,1809.11,1869.73,2848.91
92,1809.11,1829.42,2555.84
93,1809.11,1837.38,2552.81
94,1800.00,1839.33,2829.33
95,1800.00,1829.27,2661.34
96,1800.00,1824.89,2604.65
97,1800.00,1814.41,2643.10
98,1797.55,1808.49,2639.33
99,1797.46,1808.24,2639.33
100,1797.46,1806.63,2516.71
101,1797.46,1813.45,2516.71
102,1789.50,1825.14,2826.60
103,1786.96,1829.82,2584.10
104,1784.51,1825.02,2604.37
105,1784.51,1813.50,2583.51
106,1784.51,1826.17,2846.10
107,1784.51,1806.41,2605.55
108,1784.51,1791.64,2671.89
109,1783.63,1794.15,2746.87
110,1783.63,1794.20,2582.92
111,1783.63,1795.18,2460.62
112,1783.63,1802.77,2845.58
113,1783.63,1819.98,2589.45
114,1783.63,1841.61,2714.26
115,1783.63,1803.59,2593.37
116,1783.63,1793.23,2572.70
117,1783.63,1791.77,2603.67
118,1777.60,1790.72,2614.74
119,1777.60,1792.29,2572.70
120,1777.60,1793.02,2710.04
121,1775.34,1793.12,2406.48
122,1775.34,1802.35,2517.94
123,1775.34,1801.75,2812.58
124,1775.34,1786.36,2529.93
125,1775.34,1787.02,2630.32
126,1771.48,1783.57,2658.91
127,1762.16,1782.32,2658.91
128,1762.16,1783.98,2635.39
129,1758.30,1796.31,2756.65
130,1748.66,1824.95,2593.34
131,1748.66,1827.93,2785.43
132,1744.80,1795.78,2807.30
133,1740.07,1776.84,2645.73
134,1726.57,1785.51,2649.65
135,1726.57,1776.22,2695.21
136,1726.57,1771.22,2714.64
137,1725.34,1789.95,2671.95
138,1725.34,1828.41,2714.64
139,1725.34,1772.25,2832.02
140,1725.34,1746.62,2673.92
141,1725.34,1774.21,2685.25
142,1725.34,1740.36,2567.50
143,1725.34,1729.65,2215.44
144,1725.34,1737.34,2637.21
145,1722.67,1733.59,2700.18
146,1722.67,1736.67,2578.77
147,1722.67,1733.76,2491.38
148,1722.67,1733.21,2662.45
149,1720.79,1744.50,2626.67
150,1718.12,1734.44,2604.88
151,1718.12,1732.83,2462.17
152,1717.25,1732.29,2646.87
153,1692.91,1734.41,2652.09
154,1688.35,1736.62,2756.20
155,1684.81,1729.12,2703.96
156,1684.81,1756.33,2736.97
157,1684.81,1755.15,2752.66
158,1684.81,1731.99,2725.48
159,1684.81,1694.28,2443.86
160,1684.81,1690.89,2356.68
161,1684.81,1692.22,2779.39
162,1684.81,1695.31,2485.66
163,1684.81,1693.02,2524.27
164,1684.81,1691.71,2278.01
165,1663.92,1691.92,2350.98
166,1663.92,1694.76,2624.70
167,1663.92,1699.20,2539.00
168,1663.92,1705.07,2673.18
169,1663.92,1718.16,2537.95
170,1663.92,1756.49,2603.96
171,1663.92,1732.69,2418.50
172,1663.92,1673.33,2477.28
173,1663.92,1671.55,2547.54
174,1663.92,1672.81,2600.61
175,1663.92,1674.99,2477.28
176,1663.92,1667.29,2145.18
177,1663.92,1671.55,2605.17
178,1663.07,1673.54,2547.54
179,1663.07,1676.56,2492.80
180,1663.07,1674.78,2547.54
181,1663.07,1681.11,2684.62
182,1663.01,1701.27,2612.10
183,1663.01,1720.61,2604.63
184,1663.01,1700.83,2557.60
185,1662.16,1697.30,2669.35
186,1662.16,1711.53,2684.65
187,1662.16,1737.08,2733.31
188,1662.16,1727.19,2699.32
189,1662.16,1720.40,2340.47
190,1662.16,1679.62,2607.47
191,1651.72,1669.45,2672.32
192,1651.72,1673.10,2669.81
193,1651.72,1671.68,2669.81
194,1651.72,1676.58,2677.19
195,1651.72,1683.54,2732.94
196,1650.83,1668.17,2722.37
197,1650.83,1658.85,2184.16
198,1650.83,1657.73,2315.14
199,1650.83,1665.98,2534.34
200,1650.83,1662.80,2636.74
201,1650.83,1657.58,2534.34
202,1650.83,1661.43,2524.80
203,1650.83,1656.13,2242.34
204,1650.83,1656.65,2215.53
205,1650.83,1658.72,2454.34
206,1650.83,1658.42,2692.63
207,1650.83,1663.61,2573.44
208,1650.83,1654.40,2114.85
209,1650.83,1656.47,2371.64
210,1650.83,1658.27,2444.89
211,1650.83,1662.10,2696.57
212,1650.83,1658.11,2444.89
213,1650.83,1658.68,2622.52
214,1648.73,1657.51,2279.05
215,1648.73,1658.04,2284.61
216,1648.73,1662.30,2694.70
