Generation,Best,Average,Worst
0,3218.33,3570.58,4053.15
1,3218.33,3506.74,4070.14
2,3038.15,3444.40,3799.45
3,2786.43,3396.07,3923.36
4,2786.43,3339.76,3828.82
5,2786.43,3303.15,3664.60
6,2786.43,3227.16,3676.27
7,2786.43,3157.93,3655.46
8,2786.43,3084.38,3554.04
9,2786.43,2959.33,3448.15
10,2749.82,2848.38,3355.99
11,2749.82,2795.44,3106.23
12,2749.82,2790.68,3188.15
13,2749.82,2815.27,3266.10
14,2678.51,2824.74,3241.36
15,2668.39,2810.07,3372.93
16,2668.39,2815.21,3282.39
17,2668.39,2818.13,3453.84
18,2668.39,2794.86,3434.10
19,2593.15,2809.13,3358.90
20,2593.15,2806.87,3360.56
21,2585.01,2836.25,3402.93
22,2585.01,2789.93,3314.79
23,2585.01,2772.29,3251.22
24,2585.01,2770.83,3332.35
25,2546.19,2756.34,3343.35
26,2546.19,2769.81,3339.97
27,2546.19,2753.67,3368.59
28,2546.19,2737.72,3398.95
29,2524.74,2703.26,3301.72
30,2490.67,2706.26,3430.11
31,2490.67,2686.13,3299.65
32,2490.67,2736.67,3315.39
33,2490.67,2693.88,3199.05
34,2490.67,2699.25,3403.24
35,2490.67,2681.77,3414.92
36,2490.67,2639.42,3402.00
37,2490.67,2522.97,3035.16
38,2490.67,2490.67,2490.67
39,2490.67,2493.21,2744.63
40,2490.67,2498.55,2745.62
41,2490.67,2490.67,2490.67
42,2490.67,2491.40,2564.33
43,2490.67,2490.67,2490.67
44,2490.67,2492.06,2630.36
45,2490.67,2490.67,2490.67
46,2490.67,2494.32,2629.15
47,2490.67,2491.54,2577.54
48,2490.67,2490.67,2490.67
49,2490.67,2490.67,2490.67
