Generation,Best,Average,Worst
0,3137.20,3599.81,4097.01
1,3111.45,3489.90,3886.66
2,2969.08,3415.14,3828.22
3,2969.08,3356.85,3734.33
4,2969.08,3320.27,3706.18
5,2969.08,3265.04,3684.33
6,2969.08,3215.67,3590.51
7,2925.86,3159.41,3549.73
8,2855.85,3099.39,3600.95
9,2855.85,3035.29,3432.59
10,2829.42,3011.73,3526.07
11,2829.42,3033.17,3529.40
12,2829.42,3004.39,3483.33
13,2829.42,2983.90,3374.97
14,2829.42,2997.87,3527.91
15,2759.78,2920.25,3528.94
16,2759.78,2854.13,3480.41
17,2759.78,2846.34,3284.81
18,2759.78,2849.88,3402.42
19,2739.39,2840.94,3347.19
20,2698.61,2830.43,3323.27
21,2698.61,2795.12,3284.81
22,2698.61,2766.91,3041.57
23,2698.61,2769.54,3033.74
24,2671.42,2753.46,3297.30
25,2671.42,2746.97,3218.65
26,2657.73,2714.90,2918.88
27,2596.17,2711.46,3046.18
28,2596.17,2696.07,3404.24
29,2587.13,2664.69,2916.77
30,2554.94,2634.61,3157.49
31,2548.10,2619.03,3101.99
32,2548.10,2589.07,2764.98
33,2548.10,2575.09,2726.49
34,2548.10,2562.46,2714.00
35,2548.10,2561.51,3212.57
36,2548.10,2558.30,3216.84
37,2548.10,2550.62,2795.90
38,2548.10,2553.29,3049.86
39,2548.10,2550.55,2765.66
40,2548.10,2548.10,2548.10
41,2548.10,2548.76,2613.73
42,2548.10,2548.10,2548.10
43,2548.10,2548.10,2548.10
44,2548.10,2549.66,2663.50
45,2548.10,2548.64,2601.91
46,2548.10,2550.61,2666.92
47,2548.10,2548.10,2548.10
48,2548.10,2548.10,2548.10
49,2548.10,2548.99,2636.71
