Generation,Best,Average,Worst
0,3277.38,3588.07,4050.54
1,3215.95,3538.30,4006.06
2,3168.83,3464.84,3889.48
3,3105.46,3426.35,3955.47
4,3009.23,3345.60,3717.35
5,2974.20,3271.41,3648.53
6,2913.27,3232.37,3666.92
7,2869.32,3177.09,3678.88
8,2852.26,3108.99,3787.76
9,2774.48,3052.29,3400.79
10,2774.48,3068.53,3542.39
11,2774.48,3048.76,3522.93
12,2709.24,3017.82,3368.63
13,2709.24,2992.05,3399.70
14,2709.24,2966.14,3450.72
15,2662.90,2902.74,3500.73
16,2636.64,2879.17,3414.80
17,2636.64,2878.12,3405.91
18,2597.28,2860.73,3290.48
19,2597.28,2837.57,3244.41
20,2597.28,2844.76,3308.80
21,2465.38,2798.64,3281.21
22,2465.38,2799.47,3380.88
23,2465.38,2736.96,3279.99
24,2465.38,2745.74,3201.56
25,2465.38,2727.46,3331.53
26,2465.38,2678.64,3262.19
27,2465.38,2629.49,3218.67
28,2465.38,2518.40,3087.66
29,2465.38,2469.81,2908.66
30,2465.38,2465.96,2523.56
31,2465.38,2465.38,2465.38
32,2465.38,2470.28,2955.40
33,2465.38,2467.35,2662.59
34,2436.53,2465.04,2465.38
35,2436.53,2470.21,2947.32
36,2436.53,2477.32,2982.59
37,2436.53,2473.43,3016.20
38,2405.84,2461.20,2982.59
39,2405.84,2437.97,2524.41
40,2405.84,2442.89,2901.89
41,2402.79,2427.48,2893.72
42,2395.61,2423.03,2921.08
43,2395.61,2408.89,2667.25
44,2395.61,2413.39,3052.20
45,2395.61,2403.42,2933.64
46,2395.61,2401.57,2969.69
47,2395.61,2399.34,2768.25
48,2395.61,2395.61,2395.61
49,2395.61,2401.16,2921.42
