Generation,Best,Average,Worst
0,2907.23,3559.70,3954.76
1,2884.41,3314.23,3817.22
2,2797.24,3104.00,3721.91
3,2694.27,2952.13,3347.98
4,2572.72,2950.30,3434.37
5,2572.72,2865.68,3333.17
6,2555.11,2704.04,3099.03
7,2555.11,2594.33,3011.43
8,2534.94,2581.93,3038.22
9,2521.93,2567.20,3104.65
10,2521.93,2564.47,3054.95
11,2521.93,2560.85,2945.18
12,2485.30,2539.02,3090.39
13,2485.30,2550.75,3028.59
14,2460.05,2531.93,3138.55
15,2448.56,2504.57,3015.85
16,2438.77,2504.62,3039.58
17,2429.95,2536.28,3033.27
18,2412.91,2530.10,3007.52
19,2409.98,2549.41,3121.08
20,2391.63,2526.81,3118.76
21,2370.99,2564.35,3096.27
22,2370.99,2494.27,3159.09
23,2370.99,2404.61,2942.76
24,2370.99,2388.34,2990.61
25,2362.55,2386.83,2944.09
26,2362.55,2412.63,2974.92
27,2362.55,2454.84,3083.28
28,2362.55,2459.52,3029.30
29,2352.81,2373.30,2565.51
30,2352.81,2388.29,3051.64
31,2341.74,2447.87,3051.64
32,2332.00,2432.31,3032.17
33,2332.00,2452.68,3030.01
34,2315.54,2356.77,2965.76
35,2303.04,2350.72,2646.17
36,2303.04,2344.06,2603.96
37,2299.96,2329.57,2800.59
38,2299.96,2327.65,2684.56
39,2299.96,2319.88,2676.30
40,2299.38,2316.60,2554.13
41,2299.38,2331.02,2595.58
42,2299.38,2357.90,2822.20
43,2275.67,2332.53,2767.55
44,2269.44,2350.34,2811.18
45,2234.68,2350.67,2963.28
46,2220.20,2361.28,3105.95
47,2169.08,2310.03,2786.88
48,2169.08,2290.78,2649.59
49,2159.78,2244.44,2643.64
50,2159.78,2226.13,2862.74
51,2159.78,2199.08,2611.93
52,2159.78,2171.14,2468.08
53,2159.78,2169.64,2593.98
54,2154.59,2211.22,2755.55
55,2154.59,2202.31,2769.04
56,2154.59,2218.73,2688.82
57,2154.59,2193.04,2540.65
58,2154.59,2170.41,2555.35
59,2154.59,2169.19,2704.15
60,2154.59,2195.50,2700.45
61,2154.59,2184.25,2652.77
62,2102.42,2180.93,2692.35
63,2102.42,2182.68,2562.20
64,2036.45,2178.62,2551.92
65,2036.45,2125.12,2499.99
66,2035.80,2114.23,2485.90
67,2035.80,2058.27,2729.39
68,2035.80,2059.60,2660.50
69,2035.80,2047.23,2327.02
70,2035.80,2057.10,2610.56
71,2035.80,2057.32,2469.59
72,2021.52,2058.86,2408.21
73,2021.52,2070.06,2680.72
74,2021.52,2048.04,2255.66
75,2021.24,2042.07,2501.84
76,2007.46,2035.04,2304.21
77,2007.46,2095.32,2622.63
78,1992.24,2095.19,2769.80
79,1983.09,2032.78,2335.39
80,1983.09,2029.92,2710.28
81,1983.09,2039.75,2763.87
82,1983.09,2021.66,2743.38
83,1983.09,1995.16,2461.19
84,1983.09,1990.91,2254.01
85,1983.09,2000.05,2283.42
86,1983.09,2003.28,2377.27
87,1983.09,1997.21,2339.87
88,1983.09,1998.08,2414.01
89,1983.09,1993.89,2201.94
90,1968.01,2004.80,2351.17
91,1968.01,1998.15,2523.21
92,1941.86,1988.19,2304.66
93,1941.86,1993.33,2546.31
94,1941.86,2028.20,2687.01
95,1941.86,2018.05,2608.16
96,1941.86,1945.94,2126.29
97,1941.86,1967.81,2584.56
98,1939.46,1962.27,2687.75
99,1938.79,1976.03,2697.76
100,1938.79,1991.41,2567.71
101,1938.79,2007.99,2535.69
102,1938.79,1972.52,2556.12
103,1938.79,1964.48,2640.95
104,1938.79,1984.23,2701.89
105,1937.48,1961.74,2243.85
106,1937.48,1948.94,2152.31
107,1937.48,1985.56,2511.68
108,1937.48,1944.39,2210.91
109,1937.48,1972.58,2534.17
110,1937.48,1972.18,2598.94
111,1874.96,1962.12,2681.21
112,1874.96,1952.78,2343.79
113,1874.96,1978.21,2700.00
114,1874.96,1944.23,2785.28
115,1874.96,1913.09,2548.94
116,1874.96,1891.89,2460.40
117,1874.96,1889.65,2639.86
118,1874.96,1888.14,2186.02
119,1874.96,1896.98,2612.66
120,1874.96,1891.94,2120.36
121,1874.96,1900.11,2385.49
122,1874.96,1885.70,2067.25
123,1874.96,1889.82,2539.23
124,1869.32,1882.18,2222.01
125,1869.32,1907.70,2515.42
126,1869.32,1902.07,2632.74
127,1869.32,1874.14,2056.72
128,1869.32,1902.41,2634.27
129,1851.68,1881.83,2141.16
130,1851.68,1929.36,2568.40
131,1851.68,1964.31,2631.79
132,1851.68,1880.96,2479.99
133,1851.68,1866.77,2446.03
134,1845.14,1862.75,2088.02
135,1845.14,1898.03,2508.56
136,1845.14,1964.02,2708.85
137,1842.74,1891.17,2604.63
138,1842.74,1868.75,2509.18
139,1842.74,1860.91,2614.37
140,1842.74,1865.93,2612.70
141,1842.74,1850.15,2101.07
142,1842.74,1852.06,2412.28
143,1842.74,1848.61,2220.14
144,1842.74,1856.32,2180.01
145,1838.85,1858.88,2264.30
146,1838.85,1891.57,2612.70
147,1838.85,1937.24,2460.27
148,1838.85,1903.64,2693.90
149,1838.85,1868.84,2494.71
150,1838.85,1863.57,2588.68
151,1838.85,1870.43,2573.34
152,1838.85,1868.26,2620.70
153,1838.85,1862.25,2473.39
154,1838.85,1872.22,2679.30
155,1838.85,1851.91,2503.79
156,1818.27,1857.39,2575.82
157,1818.27,1858.59,2415.39
158,1809.78,1929.39,2592.15
159,1806.69,1868.52,2652.23
160,1806.69,1845.18,2657.15
161,1806.69,1859.92,2419.18
162,1806.69,1847.62,2667.26
163,1806.69,1834.87,2499.09
164,1806.69,1828.58,2445.46
165,1806.69,1853.34,2555.65
166,1806.69,1839.47,2667.26
167,1806.69,1840.24,2588.32
168,1806.69,1827.17,2455.86
169,1806.69,1850.73,2702.72
170,1806.69,1835.21,2469.37
171,1806.69,1844.66,2474.82
172,1806.69,1825.05,2382.04
173,1806.69,1825.21,2530.74
174,1806.69,1820.03,2113.87
175,1806.69,1825.52,2477.95
176,1806.69,1833.34,2675.55
177,1806.69,1838.33,2668.53
178,1806.69,1834.27,2531.95
179,1806.69,1838.16,2603.84
180,1806.69,1848.42,2542.97
181,1806.69,1839.93,2501.27
182,1806.69,1840.12,2668.81
183,1806.69,1824.85,2408.82
184,1806.69,1856.30,2555.65
185,1806.69,1830.86,2487.12
186,1806.69,1825.23,2599.74
187,1806.69,1825.48,2717.61
188,1806.69,1832.42,2620.21
189,1806.69,1835.37,2626.04
190,1806.69,1830.48,2590.49
191,1806.69,1822.84,2405.80
192,1806.69,1826.64,2609.16
193,1806.69,1824.96,2507.48
194,1806.69,1840.61,2557.74
195,1806.69,1833.85,2547.65
196,1804.89,1824.08,2289.68
197,1804.89,1842.70,2646.44
198,1804.89,1833.44,2497.23
199,1804.89,1830.78,2440.32
200,1804.89,1828.00,2604.17
201,1804.89,1839.06,2495.11
202,1804.89,1832.89,2503.37
203,1804.89,1837.42,2561.77
204,1804.89,1833.69,2499.71
205,1804.89,1844.15,2505.03
206,1804.89,1830.05,2527.71
207,1804.89,1825.37,2639.48
208,1804.89,1823.91,2435.82
209,1804.89,1818.68,2571.80
210,1804.89,1829.80,2550.27
211,1804.89,1833.33,2728.49
212,1804.89,1813.60,2042.04
213,1804.89,1821.61,2549.35
214,1804.89,1832.52,2420.98
215,1804.89,1827.62,2550.27
216,1804.89,1834.91,2608.30
217,1804.89,1819.59,2416.03
218,1804.89,1816.50,2342.27
219,1804.89,1821.55,2597.94
220,1804.89,1827.78,2549.35
221,1804.89,1836.06,2599.36
222,1804.89,1820.78,2550.27
223,1804.89,1820.23,2324.09
224,1804.89,1828.59,2142.18
225,1804.89,1825.55,2459.62
226,1804.89,1817.56,2355.93
227,1804.89,1828.56,2339.48
228,1804.89,1822.76,2600.02
229,1804.89,1830.14,2552.92
230,1804.89,1821.13,2615.98
231,1804.89,1835.69,2582.98
232,1804.89,1836.21,2556.20
233,1804.89,1847.16,2558.93
234,1804.89,1847.32,2532.24
235,1804.89,1835.46,2433.75
236,1804.89,1812.84,2059.38
237,1804.89,1828.21,2462.87
238,1804.89,1826.88,2553.64
239,1804.89,1843.61,2643.13
240,1804.89,1821.52,2518.10
241,1804.89,1828.41,2452.41
242,1804.89,1868.64,2618.40
243,1804.89,1824.55,2666.73
244,1804.89,1829.96,2666.73
245,1804.89,1815.82,2084.88
246,1804.89,1809.21,2015.29
247,1804.89,1823.16,2591.60
248,1804.89,1815.27,2451.27
249,1804.89,1842.75,2673.21
250,1804.89,1828.53,2424.46
251,1804.89,1852.55,2579.62
252,1804.89,1821.68,2513.17
253,1804.89,1823.73,2427.05
254,1804.89,1845.91,2600.02
255,1772.76,1840.37,2515.71
256,1772.76,1827.35,2555.49
257,1772.03,1841.54,2619.37
258,1772.03,1816.96,2420.07
259,1772.03,1880.88,2543.61
260,1772.03,1845.02,2596.50
261,1772.03,1810.47,2574.04
262,1772.03,1794.35,2585.46
263,1772.03,1797.23,2534.78
264,1772.03,1796.67,2483.27
265,1772.03,1815.08,2555.41
266,1772.03,1821.18,2664.02
267,1772.03,1817.31,2602.54
268,1772.03,1784.75,2585.46
269,1772.03,1802.34,2534.89
270,1770.46,1781.91,2031.06
271,1767.93,1804.14,2571.06
272,1767.93,1800.32,2428.44
273,1766.36,1818.24,2616.91
274,1766.36,1800.69,2458.53
275,1766.36,1772.98,2131.64
276,1766.36,1807.09,2491.63
277,1766.36,1782.70,2418.58
278,1766.36,1794.65,2547.85
279,1766.36,1788.73,2473.46
280,1766.36,1803.78,2574.50
281,1766.36,1806.18,2596.87
282,1766.36,1810.28,2423.45
283,1766.36,1779.80,2147.43
284,1766.36,1799.05,2572.99
285,1766.36,1789.87,2560.58
286,1766.36,1787.23,2474.05
287,1766.36,1793.74,2501.49
288,1766.36,1783.43,2409.61
289,1766.36,1802.75,2433.42
290,1766.36,1803.95,2447.96
291,1765.48,1769.97,2127.76
292,1762.77,1824.94,2547.58
293,1762.77,1841.11,2455.43
294,1761.88,1893.64,2702.17
295,1761.88,1863.89,2532.07
296,1761.88,1842.51,2566.03
297,1732.41,1783.15,2410.07
298,1732.41,1833.09,2654.93
299,1732.41,1884.42,2633.79
300,1732.41,1778.59,2514.95
301,1732.41,1774.56,2556.78
302,1732.41,1747.87,2379.92
303,1732.41,1767.63,2560.23
304,1732.41,1761.94,2441.64
305,1732.41,1768.20,2403.39
306,1732.41,1756.12,2489.64
307,1732.41,1754.73,2371.70
308,1732.41,1782.09,2506.87
309,1732.41,1759.49,2537.86
310,1732.41,1754.62,2499.52
311,1732.41,1771.21,2621.64
312,1732.41,1745.05,2320.63
313,1732.41,1758.57,2437.71
314,1732.41,1755.51,2502.54
315,1732.41,1746.98,2439.37
316,1732.41,1770.93,2560.99
317,1731.37,1753.40,2396.75
318,1731.37,1761.78,2487.98
319,1731.37,1779.08,2451.48
320,1731.37,1740.70,1977.15
321,1731.37,1762.64,2427.89
322,1731.37,1750.16,2466.64
