Generation,Best,Average,Worst
0,3154.39,3539.73,4134.54
1,2975.43,3442.01,3942.82
2,2975.43,3346.02,3859.56
3,2900.73,3269.00,3873.42
4,2823.23,3213.27,3772.21
5,2779.15,3126.93,3760.62
6,2779.15,3072.85,3732.56
7,2679.25,3019.11,3612.57
8,2679.25,3013.06,3633.33
9,2594.59,2963.16,3552.35
10,2594.59,2894.41,3442.07
11,2537.23,2780.06,3492.32
12,2537.23,2768.56,3380.07
13,2474.58,2718.28,3417.41
14,2474.58,2696.04,3517.14
15,2405.00,2643.38,3349.49
16,2365.59,2611.57,3361.40
17,2359.98,2541.64,3287.59
18,2359.73,2486.79,3051.08
19,2329.75,2458.05,3073.03
20,2329.42,2419.59,2946.16
21,2306.25,2398.32,2952.77
22,2279.05,2388.25,2957.75
23,2274.98,2389.51,2908.10
24,2274.98,2381.93,3022.30
25,2265.34,2354.13,2912.83
26,2258.76,2329.41,2921.03
27,2245.39,2303.98,2970.43
28,2245.39,2283.86,2837.45
29,2237.00,2264.46,2676.81
30,2200.01,2262.67,2691.09
31,2200.01,2252.92,2733.57
32,2197.72,2256.01,2749.02
33,2183.76,2259.15,2765.41
34,2183.76,2233.45,2766.35
35,2183.76,2208.29,2625.17
36,2181.67,2198.15,2655.30
37,2181.67,2188.70,2540.55
38,2181.67,2193.61,2620.91
39,2179.53,2205.04,2793.73
40,2179.04,2194.19,2609.17
41,2178.37,2211.68,2753.92
42,2166.35,2222.90,2683.65
43,2163.93,2234.37,3030.40
44,2163.93,2232.31,2797.01
45,2163.20,2226.35,2949.35
46,2155.54,2231.12,2817.07
47,2152.14,2196.24,2842.59
48,2130.58,2207.16,2822.47
49,2129.41,2225.26,2942.52
50,2120.11,2252.53,2746.75
51,2118.94,2241.19,2943.92
52,2118.94,2195.20,2960.10
53,2102.27,2140.22,2653.58
54,2101.41,2132.44,2691.87
55,2101.41,2121.00,2662.48
56,2101.41,2109.35,2510.15
57,2101.41,2104.96,2449.56
58,2101.41,2104.95,2468.74
59,2101.25,2105.22,2837.74
60,2101.25,2109.64,2628.93
61,2101.25,2123.85,2575.55
62,2094.12,2150.79,2662.70
63,2094.12,2108.13,2502.17
64,2077.67,2121.51,2587.77
65,2077.67,2134.60,2775.95
66,2077.67,2118.46,2521.71
67,2077.67,2117.53,2765.29
68,2077.67,2082.32,2415.27
69,2077.67,2082.22,2486.45
70,2077.67,2081.27,2371.88
71,2077.67,2082.26,2429.26
72,2077.67,2081.41,2555.15
73,2077.67,2080.69,2341.44
74,2077.67,2084.17,2569.50
75,2077.67,2080.21,2365.84
76,2077.67,2084.31,2606.42
77,2077.67,2082.08,2447.03
78,2077.67,2081.82,2390.90
79,2067.76,2082.13,2629.96
80,2067.76,2082.26,2459.18
81,2067.76,2090.41,2488.67
82,2067.76,2123.51,2551.66
83,2067.76,2077.98,2547.20
84,2061.81,2071.34,2444.73
85,2061.81,2074.45,2634.85
86,2061.81,2083.96,2699.97
87,2061.81,2101.23,2572.63
88,2061.81,2083.37,2607.46
89,2061.81,2068.55,2575.56
90,2061.81,2069.78,2731.44
91,2061.81,2067.55,2650.37
92,2014.48,2065.74,2429.55
93,2014.48,2073.40,2691.01
94,1984.94,2077.91,2691.93
95,1977.81,2054.26,2711.55
96,1968.41,2035.84,2453.29
97,1968.41,2023.76,2527.05
98,1959.95,2056.08,2929.43
99,1959.90,2029.00,2671.69
100,1959.90,1981.80,2480.90
101,1953.47,1987.03,2461.93
102,1944.38,1965.46,2519.23
103,1944.38,1970.14,2446.58
104,1937.95,1991.57,2550.75
105,1937.89,2007.64,2688.49
106,1933.68,1967.11,2483.55
107,1933.62,1950.91,2494.78
108,1933.62,1946.10,2418.66
109,1916.80,1946.46,2505.60
110,1916.80,1945.83,2865.76
111,1912.51,1943.39,2407.12
112,1908.24,1946.72,2533.73
113,1899.11,1931.48,2544.91
114,1899.11,1940.39,2567.57
115,1890.55,1931.51,2453.46
116,1890.55,1977.65,2640.54
117,1890.33,1939.71,2576.68
118,1888.53,1916.36,2561.08
119,1888.31,1900.18,2286.80
120,1888.31,1905.37,2677.85
121,1888.31,1898.01,2356.68
122,1888.31,1895.88,2617.25
123,1888.31,1895.58,2531.74
124,1888.31,1896.19,2568.94
125,1888.31,1895.03,2265.46
126,1887.71,1890.86,2388.06
127,1887.71,1894.80,2368.80
128,1887.71,1893.42,2383.48
129,1887.71,1896.46,2478.68
130,1885.25,1895.16,2350.18
131,1885.25,1895.68,2549.71
132,1885.25,1905.08,2524.80
133,1885.25,1909.12,2624.43
134,1885.25,1893.67,2524.80
135,1885.25,1890.32,2579.66
136,1885.25,1890.78,2403.08
137,1885.25,1893.40,2390.52
138,1885.25,1889.02,2204.43
