Generation,Best,Average,Worst
0,3078.25,3589.22,4037.15
1,2960.19,3491.10,3973.58
2,2932.57,3406.42,3894.41
3,2839.15,3341.44,3765.61
4,2839.15,3307.70,3844.85
5,2825.58,3256.12,3915.45
6,2693.91,3220.11,3802.53
7,2693.91,3192.27,3766.80
8,2693.91,3129.00,3632.63
9,2667.47,3092.79,3608.71
10,2574.48,3064.68,3606.51
11,2431.74,3041.77,3565.30
12,2431.74,3000.01,3581.45
13,2431.74,2960.29,3445.18
14,2279.31,2931.99,3456.84
15,2279.31,2882.28,3323.85
16,2279.31,2803.95,3283.13
17,2279.31,2747.68,3206.00
18,2260.84,2686.07,3214.82
19,2118.29,2610.09,3158.35
20,2118.29,2579.15,3130.92
21,2068.40,2552.78,3090.72
22,2068.40,2546.24,3101.94
23,2068.40,2549.62,3075.65
24,2068.40,2529.03,3088.13
25,2025.07,2518.67,2994.26
26,2025.07,2509.41,3200.74
27,2025.07,2488.51,3110.47
28,2025.07,2498.51,3077.86
29,1965.67,2462.09,2991.72
30,1965.67,2443.57,3036.36
31,1965.67,2382.27,2933.19
32,1947.78,2322.62,2913.37
33,1947.78,2229.24,2799.99
34,1943.79,2142.91,3013.65
35,1943.79,2105.96,2758.87
36,1932.77,2063.04,2785.67
37,1932.77,2051.38,2754.94
38,1914.87,2067.63,2744.61
39,1893.62,2097.87,2722.33
40,1893.62,2091.13,2796.68
41,1893.62,2058.51,2791.72
42,1893.62,2019.20,2749.74
43,1887.00,2000.31,2731.44
44,1887.00,1995.82,2715.79
45,1887.00,1995.72,2776.28
46,1885.33,1977.70,2715.93
47,1882.50,1970.95,2726.59
48,1879.66,1936.17,2688.44
49,1879.66,1922.05,2704.91
50,1879.21,1928.99,2607.26
51,1879.21,1944.22,2716.14
52,1879.21,1955.33,2653.47
53,1879.21,1956.81,2677.65
54,1879.21,1908.81,2641.00
55,1879.21,1882.41,2301.61
56,1879.21,1882.08,2183.03
57,1867.71,1880.87,2124.40
58,1867.71,1882.11,2221.29
59,1867.71,1881.15,2113.12
60,1867.71,1891.29,2620.50
61,1867.71,1906.42,2335.15
62,1867.71,1883.14,2278.80
63,1867.71,1870.90,2443.62
64,1867.71,1871.78,2243.11
65,1867.71,1869.18,2164.86
66,1867.71,1869.42,2222.88
67,1867.71,1868.86,2102.01
68,1867.71,1871.12,2256.05
69,1867.71,1868.58,2216.57
70,1867.71,1867.71,1867.71
71,1867.71,1868.90,2117.36
72,1867.71,1870.85,2385.66
73,1867.71,1869.26,2202.56
74,1867.71,1869.14,2139.83
75,1867.71,1869.17,2048.10
76,1867.71,1869.11,2104.58
77,1867.71,1869.16,2074.59
78,1867.71,1868.47,2173.65
79,1867.71,1869.02,2146.24
80,1867.71,1867.95,1948.21
81,1867.71,1870.32,2302.35
82,1867.71,1870.32,2453.33
83,1867.71,1873.24,2524.26
84,1867.71,1870.83,2548.41
85,1867.71,1869.55,2214.13
86,1867.71,1869.96,2174.43
87,1867.71,1872.49,2523.11
88,1867.71,1870.46,2249.43
89,1867.71,1868.21,2063.11
90,1867.71,1869.56,2100.78
91,1866.40,1867.70,1867.71
92,1866.40,1871.19,2225.07
93,1866.40,1873.20,2335.48
94,1866.40,1876.46,2212.09
95,1866.40,1880.34,2230.88
96,1866.40,1868.67,2321.93
97,1866.40,1867.77,2125.23
98,1866.40,1867.64,2105.19
99,1866.40,1868.08,2125.70
100,1866.40,1866.89,2062.99
101,1866.40,1868.22,2092.98
