Generation,Best,Average,Worst
0,3136.72,3572.65,4095.49
1,3053.59,3493.24,4110.07
2,3019.79,3439.95,4013.64
3,2922.66,3384.77,3962.33
4,2841.24,3330.27,3794.41
5,2711.65,3263.49,3854.79
6,2596.30,3192.04,3652.45
7,2596.30,3138.96,3699.58
8,2581.54,3089.00,3752.45
9,2581.54,3049.88,3661.66
10,2460.50,3011.69,3434.81
11,2460.50,2966.02,3499.43
12,2460.50,2930.44,3502.79
13,2460.50,2917.08,3479.58
14,2365.20,2902.14,3385.36
15,2365.20,2892.99,3334.39
16,2365.20,2875.79,3384.56
17,2365.20,2840.79,3425.19
18,2365.20,2858.71,3488.99
19,2365.20,2838.01,3381.83
20,2365.20,2813.75,3443.36
21,2346.10,2797.48,3284.67
22,2346.10,2788.38,3375.31
23,2346.10,2767.17,3425.10
24,2327.83,2748.86,3299.89
25,2305.78,2721.12,3318.57
26,2242.29,2721.97,3218.62
27,2242.29,2693.87,3266.26
28,2183.81,2659.50,3261.56
29,2183.81,2624.64,3236.17
30,2183.81,2619.35,3185.46
31,2168.29,2592.81,3055.41
32,2122.58,2578.54,3128.03
33,2122.58,2573.15,3109.82
34,2122.58,2537.19,3077.00
35,2122.58,2556.57,3074.66
36,2122.58,2566.67,3087.51
37,2122.58,2555.14,3082.89
38,2058.02,2561.39,3259.10
39,2026.45,2513.44,3052.69
40,2026.45,2513.29,3090.87
41,2026.45,2507.87,2983.55
42,2021.60,2511.35,3043.09
43,1975.50,2494.47,3057.00
44,1975.50,2487.89,3044.83
45,1975.50,2490.10,3059.49
46,1975.50,2488.86,3097.63
47,1975.50,2512.67,3081.41
48,1975.50,2513.24,3193.30
49,1975.50,2500.03,3047.10
50,1975.50,2502.42,3114.90
51,1975.50,2489.32,2970.94
52,1975.50,2451.87,2935.48
53,1975.50,2437.51,3004.82
54,1975.50,2370.31,3224.27
55,1966.37,2295.17,2871.98
56,1966.37,2203.89,2901.99
57,1966.37,2095.69,2779.93
58,1966.37,2038.04,2804.46
59,1945.28,2000.62,2639.97
60,1945.28,1997.46,2701.15
61,1931.63,1977.09,2654.90
62,1930.23,1978.99,2474.69
63,1927.33,1966.81,2520.13
64,1927.33,1955.08,2491.20
65,1925.92,1945.73,2491.20
66,1925.92,1963.04,2536.17
67,1908.91,1969.82,2505.50
68,1908.91,1965.20,2530.23
69,1908.91,1958.43,2614.06
70,1908.91,1970.38,2531.57
71,1908.91,1957.21,2689.73
72,1908.91,1917.23,2542.13
73,1908.91,1912.43,2263.88
74,1908.91,1909.57,2170.44
75,1908.91,1910.46,2149.42
76,1908.91,1912.38,2529.45
77,1908.91,1910.50,2297.65
78,1908.91,1909.49,2140.08
79,1908.91,1911.27,2448.22
80,1902.41,1910.04,2366.22
81,1902.41,1913.08,2363.43
82,1902.41,1932.01,2451.29
83,1902.41,1939.34,2534.67
84,1902.41,1974.16,2560.32
85,1902.41,1937.52,2535.23
86,1902.41,1903.92,2343.60
87,1902.41,1908.12,2499.73
88,1902.41,1903.85,2127.79
89,1902.41,1903.47,2121.92
90,1902.41,1904.37,2354.46
91,1902.41,1905.03,2484.98
92,1902.41,1903.19,2063.75
93,1902.41,1905.35,2507.65
94,1902.41,1903.46,2138.68
95,1902.41,1903.45,2188.40
96,1902.41,1902.61,1983.33
97,1902.41,1903.46,2182.86
98,1902.41,1905.79,2241.12
99,1897.65,1905.26,2355.30
100,1897.65,1904.59,2348.52
101,1897.65,1906.19,2366.96
102,1897.65,1906.98,2437.59
103,1897.65,1899.88,2304.02
104,1897.65,1899.62,2104.95
105,1897.65,1899.33,2256.11
106,1897.65,1899.17,2180.54
107,1897.65,1897.65,1897.65
108,1897.65,1899.93,2196.18
109,1897.65,1898.23,2119.50
110,1888.93,1898.06,2073.43
111,1888.93,1901.53,2415.48
112,1888.93,1898.40,2133.22
113,1886.83,1903.47,2535.84
114,1885.52,1894.28,2481.03
115,1878.06,1899.75,2463.27
116,1878.06,1916.41,2481.03
117,1878.06,1928.59,2620.86
118,1878.06,1930.44,2557.81
119,1878.06,1921.15,2409.41
120,1878.06,1880.56,2180.92
121,1878.06,1880.15,2129.76
122,1878.06,1879.60,2282.96
123,1878.06,1879.04,2016.06
124,1878.06,1880.62,2285.09
