Generation,Best,Average,Worst
0,3043.92,3589.54,4088.32
1,3020.28,3505.73,3948.38
2,2941.78,3442.68,3911.85
3,2941.78,3406.82,4002.87
4,2825.51,3346.63,3846.99
5,2811.70,3320.01,3850.48
6,2811.70,3272.30,3757.77
7,2745.83,3226.68,3697.26
8,2745.83,3194.31,3691.20
9,2745.83,3162.12,3753.71
10,2635.87,3119.42,3703.30
11,2627.21,3106.55,3546.11
12,2600.24,3089.84,3674.24
13,2600.24,3045.07,3742.03
14,2598.35,3015.49,3497.07
15,2531.25,3000.58,3455.95
16,2531.25,2976.60,3695.82
17,2531.25,2955.11,3528.40
18,2477.32,2932.35,3482.28
19,2477.13,2931.67,3524.62
20,2477.13,2914.46,3495.27
21,2477.13,2923.56,3436.66
22,2432.83,2913.32,3540.04
23,2432.83,2893.10,3329.92
24,2354.24,2890.10,3424.77
25,2353.90,2883.45,3418.44
26,2353.90,2879.97,3352.53
27,2353.90,2855.45,3412.20
28,2353.90,2857.09,3349.62
29,2337.64,2835.47,3465.40
30,2337.64,2830.86,3477.47
31,2293.74,2824.75,3445.21
32,2293.74,2809.74,3322.15
33,2293.74,2791.18,3264.04
34,2293.74,2794.96,3319.79
35,2293.74,2794.41,3347.40
36,2293.74,2780.13,3481.81
37,2293.74,2769.76,3383.80
38,2208.69,2752.63,3326.02
39,2208.69,2745.11,3309.49
40,2208.69,2719.24,3268.53
41,2208.69,2704.34,3302.05
42,2208.69,2691.46,3250.14
43,2202.61,2679.93,3240.44
44,2202.61,2682.73,3237.37
45,2202.61,2691.82,3264.17
46,2150.34,2684.00,3252.33
47,2143.54,2708.25,3329.70
48,2143.54,2691.48,3242.78
49,2143.54,2666.09,3336.29
50,2143.54,2646.71,3309.93
51,2117.16,2680.69,3235.53
52,2117.16,2664.15,3167.72
53,2117.16,2673.09,3304.07
54,2117.16,2656.21,3198.35
55,2113.18,2628.34,3269.28
56,2113.18,2633.67,3328.96
57,2113.18,2616.89,3185.28
58,2107.46,2626.66,3263.25
59,2107.46,2611.92,3351.54
60,2107.46,2632.85,3159.94
61,2107.46,2609.95,3216.59
62,2107.46,2615.63,3313.86
63,2089.13,2579.72,3215.69
64,2089.13,2581.43,3128.34
65,2068.50,2574.71,3265.90
66,2034.31,2578.41,3153.58
67,2034.31,2550.42,3059.87
68,2034.31,2517.79,3265.99
69,2023.62,2507.34,3138.84
70,1968.20,2486.56,3060.64
71,1968.20,2469.33,3002.16
72,1968.20,2475.09,3074.30
73,1968.20,2474.97,3041.75
74,1968.20,2473.21,3018.86
75,1968.20,2467.74,3022.73
76,1968.20,2434.15,2970.35
77,1968.20,2438.76,2981.80
