Generation,Best,Average,Worst
0,3024.21,3565.08,4193.29
1,2915.10,3469.76,3946.23
2,2907.80,3403.97,4004.01
3,2895.11,3353.60,3970.06
4,2742.29,3294.16,3814.02
5,2742.29,3253.13,3896.47
6,2742.29,3201.75,3765.65
7,2644.75,3153.04,3759.78
8,2571.28,3126.31,3740.61
9,2571.28,3094.47,3605.36
10,2541.52,3054.35,3648.78
11,2496.76,3036.35,3608.81
12,2496.76,3002.47,3584.64
13,2402.83,2978.18,3575.83
14,2402.83,2962.37,3684.56
15,2402.83,2955.31,3538.20
16,2402.83,2937.31,3521.02
17,2378.05,2924.77,3574.04
18,2378.05,2903.42,3520.06
19,2367.30,2883.00,3418.54
20,2367.30,2862.06,3476.79
21,2347.11,2846.25,3386.68
22,2317.40,2833.05,3645.16
23,2317.40,2838.09,3481.85
24,2287.47,2809.78,3432.02
25,2215.70,2795.75,3414.79
26,2215.70,2774.85,3268.60
27,2207.08,2738.48,3419.14
28,2207.08,2723.99,3414.33
29,2207.08,2690.93,3277.86
30,2200.73,2650.41,3223.58
31,2189.44,2605.60,3139.20
32,2144.17,2564.09,3204.86
33,2132.48,2512.25,3108.28
34,2128.00,2476.23,2998.15
35,2122.68,2459.79,2954.55
36,2035.47,2440.17,2907.61
37,2035.47,2418.51,3005.73
38,2035.47,2404.88,2990.91
39,2035.47,2395.60,2972.70
40,2017.01,2398.65,2945.44
41,2017.01,2391.04,2978.42
42,1980.24,2376.35,2925.99
43,1980.24,2373.23,3006.69
44,1980.24,2367.78,2903.41
45,1979.55,2334.70,2886.94
46,1972.31,2321.00,2834.95
47,1972.31,2290.39,2851.65
48,1972.31,2259.94,2867.62
49,1969.97,2218.91,2921.91
