Generation,Best,Average,Worst
0,3046.01,3578.68,4216.04
1,2961.59,3490.64,4130.83
2,2961.59,3425.53,3981.28
3,2900.21,3360.03,3919.72
4,2769.22,3301.64,3889.35
5,2769.22,3246.08,3901.05
6,2629.63,3190.20,3788.48
7,2574.37,3155.35,3858.24
8,2574.37,3123.37,3699.34
9,2573.98,3084.96,3635.70
10,2557.86,3058.53,3683.87
11,2546.37,3041.73,3826.29
12,2544.90,3031.53,3705.48
13,2400.73,3010.58,3617.34
14,2400.73,2980.72,3622.53
15,2400.73,2946.42,3563.76
16,2364.15,2895.41,3611.56
17,2315.99,2869.95,3504.56
18,2315.99,2835.53,3436.87
19,2279.53,2796.12,3385.36
20,2252.79,2771.57,3379.77
21,2252.79,2741.43,3402.06
22,2252.79,2711.31,3299.51
23,2252.79,2676.90,3215.03
24,2252.79,2667.30,3451.57
25,2233.05,2644.43,3331.45
26,2233.05,2617.59,3307.10
27,2216.21,2597.10,3129.88
28,2216.21,2611.59,3140.99
29,2104.48,2604.05,3248.45
30,2104.48,2599.92,3170.50
31,2104.48,2579.76,3218.67
32,2104.48,2585.61,3096.66
33,2104.48,2588.46,3161.47
34,2076.23,2581.41,3125.76
35,2076.23,2570.96,3130.99
36,2076.23,2563.94,3117.76
37,2076.23,2553.76,3220.27
38,2076.23,2544.14,3060.90
39,2076.23,2537.62,3040.43
40,2076.23,2552.71,3100.01
41,2076.23,2549.01,3102.59
42,2076.23,2534.54,3276.79
43,2076.23,2529.98,3037.68
44,2076.23,2525.76,3057.68
45,2076.23,2518.71,3347.23
46,2076.23,2506.20,3090.65
47,2076.23,2494.87,3118.21
48,2076.23,2483.39,3082.29
49,2076.23,2479.09,2994.22
50,2076.23,2472.22,3045.39
51,2076.23,2464.90,3060.44
52,2076.23,2472.64,3125.57
53,2029.98,2458.97,3008.64
54,2027.90,2453.34,3058.35
55,1948.08,2448.17,3036.10
56,1948.08,2435.87,3037.08
57,1942.43,2436.16,2968.92
58,1924.15,2424.43,3006.33
59,1924.15,2418.88,2917.43
60,1924.15,2386.49,2983.22
61,1924.15,2369.27,2882.20
62,1924.15,2353.05,3008.40
63,1924.15,2319.56,3069.96
64,1922.22,2292.27,3001.37
65,1867.84,2241.36,2861.16
66,1859.67,2186.68,2930.18
67,1859.67,2109.27,2676.39
68,1843.59,2034.09,2603.16
69,1841.17,1998.19,2545.72
70,1827.79,1997.51,2605.51
71,1808.69,1976.31,2580.53
72,1763.17,1962.36,2635.94
73,1762.01,1918.27,2479.24
74,1738.43,1872.17,2445.97
