Generation,Best,Average,Worst
0,3074.72,3572.71,4122.45
1,3011.33,3485.83,4021.61
2,2809.92,3416.37,3921.66
3,2809.92,3353.23,3967.31
4,2686.06,3298.17,3824.48
5,2686.06,3278.56,3908.68
6,2686.06,3234.51,3740.90
7,2642.70,3200.43,3765.45
8,2642.70,3153.05,3690.72
9,2595.01,3113.66,3798.82
10,2568.87,3071.15,3752.79
11,2555.59,3038.17,3545.57
12,2471.08,3000.15,3634.56
13,2471.08,2978.47,3561.20
14,2423.88,2951.52,3571.64
15,2423.88,2926.69,3485.83
16,2343.10,2884.66,3471.04
17,2343.10,2858.67,3381.83
18,2343.10,2842.49,3526.29
19,2343.10,2820.14,3338.23
20,2343.10,2799.42,3394.29
21,2343.10,2776.91,3303.92
22,2343.10,2791.82,3486.89
23,2269.00,2794.82,3463.14
24,2269.00,2789.19,3336.63
25,2266.02,2772.70,3280.56
26,2266.02,2756.43,3385.38
27,2266.02,2744.07,3272.34
28,2247.08,2755.54,3246.30
29,2231.22,2740.76,3365.39
30,2231.22,2722.41,3354.95
31,2205.71,2713.99,3331.00
32,2190.81,2712.22,3328.75
33,2190.81,2697.77,3310.26
34,2190.81,2676.09,3276.39
35,2190.81,2658.19,3350.58
36,2136.88,2648.42,3209.83
37,2136.88,2642.47,3220.23
38,2136.88,2639.63,3203.45
39,2136.88,2621.43,3217.03
40,2136.88,2607.97,3209.24
41,2127.05,2586.73,3147.21
42,2127.05,2574.41,3106.28
43,2072.34,2567.41,3120.19
44,2072.34,2546.66,3111.02
45,2002.32,2548.22,3105.05
46,2002.32,2534.72,3122.85
47,2002.32,2520.05,3078.03
48,2002.04,2517.22,3153.23
49,1985.19,2505.62,3026.24
