Generation,Best,Average,Worst
0,3109.27,3604.79,4079.16
1,3054.75,3549.00,4048.33
2,3015.26,3498.79,3983.02
3,2946.07,3453.08,3954.98
4,2904.09,3411.65,4044.40
5,2857.37,3374.84,4053.78
6,2806.70,3338.38,3913.39
7,2806.70,3311.54,3925.68
8,2723.42,3298.41,4016.55
9,2723.42,3271.49,3807.18
10,2715.85,3244.15,3966.79
11,2715.85,3219.41,3861.29
12,2715.85,3185.56,3872.36
13,2685.76,3163.84,3698.23
14,2685.76,3125.37,3711.50
15,2685.76,3128.11,3691.53
16,2660.59,3102.00,3704.66
17,2610.67,3097.95,3744.54
18,2610.67,3085.77,3882.18
19,2610.67,3068.08,3703.18
20,2517.11,3056.18,3634.26
21,2515.38,3056.22,3665.32
22,2506.07,3041.49,3659.06
23,2505.51,3030.78,3605.09
24,2505.51,3037.58,3741.81
25,2501.31,3011.75,3567.48
26,2501.31,3003.37,3604.60
27,2501.31,2998.50,3555.16
28,2501.31,3000.04,3608.50
29,2501.31,3010.41,3636.63
30,2501.31,3009.62,3620.04
31,2501.31,3001.89,3557.71
32,2501.31,2991.29,3708.58
33,2501.31,2973.09,3575.14
34,2467.56,2958.82,3642.90
35,2404.81,2954.95,3643.68
36,2404.81,2939.46,3555.11
37,2404.81,2935.40,3494.08
38,2404.81,2927.12,3465.52
39,2404.81,2916.03,3577.74
40,2403.65,2893.76,3643.71
41,2403.65,2883.22,3593.76
42,2403.65,2883.20,3454.11
43,2402.24,2878.98,3549.42
44,2402.24,2870.53,3439.06
45,2402.24,2866.76,3582.46
46,2281.03,2857.04,3533.10
47,2281.03,2839.78,3476.62
48,2281.03,2831.11,3416.22
49,2281.03,2814.80,3561.46
50,2281.03,2799.56,3471.61
51,2281.03,2801.02,3414.52
52,2281.03,2792.54,3411.98
53,2281.03,2781.11,3315.70
54,2281.03,2763.56,3333.63
55,2281.03,2753.50,3287.19
56,2281.03,2756.87,3370.39
57,2222.80,2755.63,3263.25
58,2222.80,2746.87,3431.32
59,2222.80,2762.13,3351.16
60,2222.80,2736.56,3466.85
61,2222.80,2729.97,3343.97
62,2222.80,2727.22,3312.11
63,2222.80,2721.97,3309.10
64,2183.88,2708.08,3342.50
65,2183.88,2699.78,3329.61
66,2177.04,2690.27,3279.22
67,2177.04,2689.45,3323.37
68,2177.04,2663.51,3340.06
69,2177.04,2657.80,3332.16
70,2177.04,2644.78,3320.44
71,2177.04,2654.17,3309.12
72,2177.04,2660.85,3256.48
73,2177.04,2661.12,3239.10
74,2177.04,2646.38,3274.63
75,2177.04,2636.66,3254.72
76,2134.61,2631.14,3167.83
77,2134.61,2628.11,3277.29
78,2103.79,2610.25,3212.54
79,2103.79,2600.29,3341.73
80,2067.18,2579.81,3081.62
81,2067.18,2582.36,3181.59
82,2067.18,2575.04,3283.26
83,1983.08,2573.86,3086.58
84,1983.08,2574.48,3148.59
85,1983.08,2569.80,3317.20
86,1983.08,2569.35,3140.80
87,1983.08,2557.46,3078.21
88,1983.08,2565.42,3301.29
89,1983.08,2564.17,3166.13
90,1983.08,2560.54,3217.53
91,1983.08,2557.88,3263.44
92,1983.08,2549.87,3190.23
93,1983.08,2538.93,3245.81
94,1983.08,2528.66,3129.84
95,1983.08,2532.72,3060.86
96,1983.08,2523.04,3184.85
97,1983.08,2528.15,3251.31
98,1983.08,2521.42,3181.17
99,1983.08,2513.13,3003.92
100,1983.08,2496.81,3166.62
101,1983.08,2506.28,3130.11
102,1983.08,2494.23,3075.07
103,1983.08,2487.18,3073.71
104,1983.08,2467.27,3060.57
105,1982.49,2465.38,3077.50
106,1982.49,2441.48,3083.93
107,1979.12,2443.21,3084.33
108,1979.12,2418.72,3158.14
109,1979.12,2413.90,2973.99
110,1932.74,2413.08,3017.40
111,1932.74,2397.26,3114.00
112,1932.74,2392.01,2889.78
113,1932.74,2388.52,3240.20
114,1932.74,2380.71,3014.55
115,1932.74,2382.98,2926.29
116,1932.74,2381.57,2973.71
117,1932.74,2372.92,2949.85
118,1932.74,2358.82,2915.27
119,1932.74,2348.70,2936.53
120,1932.74,2353.43,2963.22
121,1900.96,2344.27,2869.07
122,1900.61,2342.44,2945.23
123,1900.61,2346.34,2920.15
124,1900.61,2348.92,2970.78
125,1857.56,2327.21,2841.30
126,1850.94,2327.14,2820.76
127,1850.94,2313.74,2899.83
128,1850.94,2321.33,2900.99
129,1850.94,2326.52,2830.28
130,1850.94,2325.90,2978.05
131,1850.94,2318.70,2879.40
132,1850.94,2332.35,2908.42
133,1850.94,2336.57,2941.44
134,1850.94,2339.42,2895.74
135,1850.94,2343.99,2943.31
136,1850.94,2343.25,2836.27
137,1850.94,2345.52,3004.29
138,1850.94,2326.86,2897.08
139,1850.94,2342.35,3029.30
140,1850.94,2348.00,2976.30
141,1850.94,2349.17,2920.87
142,1850.94,2351.68,2904.49
143,1850.94,2352.99,2847.42
144,1850.94,2343.75,2842.16
145,1850.94,2346.92,2954.48
146,1850.94,2359.25,2967.06
147,1850.94,2357.05,2950.16
148,1850.94,2349.47,2935.97
149,1850.94,2358.40,2889.35
150,1850.94,2364.04,2837.74
