Generation,Best,Average,Worst
0,3109.58,3567.03,4172.28
1,2901.86,3475.07,4021.07
2,2876.60,3415.53,3994.00
3,2846.71,3360.63,3968.78
4,2789.89,3309.91,3804.08
5,2789.89,3269.59,3841.27
6,2763.63,3225.96,3772.77
7,2651.46,3187.85,3747.11
8,2605.47,3141.40,3743.66
9,2577.17,3092.00,3641.99
10,2577.07,3067.28,3705.14
11,2447.57,3012.34,3699.81
12,2447.57,2983.73,3557.95
13,2447.57,2955.91,3509.33
14,2447.57,2936.33,3547.35
15,2447.57,2896.45,3482.49
16,2447.57,2884.18,3420.60
17,2298.97,2865.32,3484.65
18,2298.97,2855.55,3461.93
19,2298.97,2837.18,3442.32
20,2298.97,2831.81,3476.86
21,2270.46,2804.60,3472.93
22,2223.45,2786.33,3516.50
23,2223.45,2761.85,3399.44
24,2223.45,2729.11,3300.28
25,2223.45,2709.33,3279.94
26,2223.45,2708.96,3264.27
27,2223.45,2704.90,3266.52
28,2223.00,2675.95,3244.30
29,2223.00,2669.00,3321.84
30,2209.50,2677.94,3299.13
31,2209.50,2668.58,3271.69
32,2209.50,2639.91,3396.73
33,2209.50,2638.91,3339.84
34,2172.25,2603.39,3298.45
35,2126.67,2563.98,3324.08
36,2126.67,2467.69,3315.88
37,2121.29,2389.70,3234.28
38,2121.29,2327.79,3236.32
39,2110.76,2300.03,3056.98
40,2088.24,2359.36,3170.49
41,2081.79,2367.69,3172.76
42,2076.12,2382.87,3092.23
43,2053.08,2366.24,3164.15
44,2053.08,2344.13,3123.87
45,2045.91,2333.66,3159.38
46,1986.98,2314.93,3019.07
47,1986.98,2307.99,3027.52
48,1986.98,2309.90,3023.68
49,1986.98,2309.24,2931.51
