Generation,Best,Average,Worst
0,3069.21,3563.85,4171.28
1,2965.37,3483.55,4046.39
2,2905.21,3402.94,3915.40
3,2817.94,3319.65,3879.64
4,2768.57,3241.86,3766.71
5,2720.15,3196.20,3703.54
6,2720.15,3155.50,3748.76
7,2667.40,3126.34,3665.16
8,2562.33,3097.12,3781.11
9,2562.33,3080.77,3696.28
10,2399.03,3040.36,3698.20
11,2399.03,2999.48,3548.32
12,2386.59,2950.17,3509.88
13,2333.20,2917.78,3515.33
14,2333.20,2838.77,3527.45
15,2269.06,2774.72,3338.45
16,2264.46,2718.62,3289.26
17,2264.46,2662.46,3181.81
18,2256.83,2631.99,3242.97
19,2136.59,2612.31,3301.90
20,2136.59,2596.85,3127.05
21,2136.59,2586.31,3090.78
22,2136.59,2567.43,3116.17
23,2114.27,2544.54,3092.49
24,2114.27,2528.39,3083.22
25,2114.27,2490.64,3064.12
26,2114.27,2448.00,3080.16
27,2114.27,2407.97,3033.51
28,2085.40,2321.48,2933.86
29,2074.85,2320.07,2983.48
30,2040.24,2273.61,3008.97
31,2040.24,2218.72,2887.77
32,2040.18,2210.98,2932.78
33,2026.11,2267.24,2878.70
34,2020.31,2187.80,2890.15
35,2020.31,2053.83,2670.14
36,2004.02,2060.89,3061.74
37,1972.33,2067.89,2838.92
38,1972.33,2049.77,2656.52
39,1964.70,2044.93,2651.51
40,1964.64,2017.38,2843.62
41,1964.64,1990.46,2647.02
42,1964.64,1970.90,2608.74
43,1964.64,1967.30,2570.91
44,1964.64,1965.76,2258.15
45,1964.64,1966.74,2382.15
46,1964.64,1968.51,2487.67
47,1964.64,1967.17,2506.42
48,1964.64,1966.98,2421.74
49,1964.64,1967.43,2551.38
50,1964.64,1967.40,2457.83
51,1964.64,1966.32,2466.15
52,1964.64,1967.60,2435.96
53,1964.64,1966.68,2775.00
54,1964.64,1967.16,2857.61
55,1964.64,1967.42,2565.62
56,1964.64,1968.44,2570.28
57,1964.64,1965.17,2128.07
58,1958.93,1966.67,2471.46
59,1958.93,1968.08,2477.99
60,1958.93,1969.41,2614.91
61,1958.93,1974.82,2696.28
62,1958.93,1963.22,2528.84
63,1951.43,1959.87,2315.68
64,1951.43,1960.93,2571.94
65,1951.43,1959.47,2247.73
66,1951.43,1958.30,2478.59
67,1874.12,1956.51,2496.42
68,1874.12,1952.28,2249.10
69,1874.12,1956.83,2481.68
70,1874.12,1953.75,2574.97
71,1874.12,1900.83,2450.41
72,1868.11,1876.75,2401.05
73,1868.11,1878.45,2458.06
74,1868.11,1894.04,2736.58
75,1865.48,1922.82,2763.33
76,1865.48,1948.43,2736.58
77,1865.48,1885.15,2598.63
78,1865.48,1868.27,2541.45
79,1865.48,1869.00,2499.29
80,1865.48,1867.35,2246.82
81,1865.48,1867.36,2467.88
82,1865.48,1868.54,2385.54
83,1844.14,1868.23,2533.15
84,1844.14,1867.36,2610.57
85,1844.14,1871.42,2454.75
86,1844.14,1885.60,2571.55
87,1838.62,1861.68,2571.55
88,1838.62,1847.85,2413.55
89,1838.62,1849.82,2456.24
90,1838.40,1860.83,2480.40
91,1838.40,1847.74,2496.76
92,1838.40,1846.43,2542.14
93,1838.40,1838.69,2022.89
94,1838.40,1841.97,2484.50
95,1838.40,1841.39,2305.75
96,1838.40,1839.13,2295.93
97,1838.40,1840.43,2225.49
98,1838.40,1843.38,2532.05
99,1838.40,1843.09,2457.68
100,1838.40,1840.01,2276.43
101,1838.40,1840.64,2557.70
102,1838.40,1839.42,2107.87
