Generation,Best,Average,Worst
0,3089.62,3529.76,3972.45
1,3031.53,3373.15,3921.98
2,2965.11,3226.29,3644.29
3,2957.94,3144.89,3548.50
4,2843.20,3108.55,3711.69
5,2843.20,3008.87,3557.06
6,2822.38,2996.84,3581.22
7,2784.42,2927.80,3447.31
8,2760.28,2935.79,3452.61
9,2704.52,2940.59,3507.05
10,2688.55,2890.54,3392.11
11,2688.55,2857.70,3473.10
12,2672.02,2796.92,3309.22
13,2667.76,2826.44,3352.08
14,2667.76,2816.31,3398.59
15,2667.76,2779.99,3291.33
16,2667.76,2746.51,3347.34
17,2625.35,2670.12,2780.53
18,2625.35,2683.04,3127.57
19,2625.35,2697.69,3107.09
20,2625.35,2660.07,3072.11
21,2530.52,2630.32,2918.91
22,2530.52,2630.13,2919.12
23,2530.52,2632.80,3066.28
24,2515.51,2566.33,3017.12
25,2512.00,2544.74,3005.26
26,2501.56,2575.43,3039.77
27,2501.56,2559.23,3144.18
28,2458.29,2548.90,2955.19
29,2458.29,2533.62,3127.48
30,2434.10,2549.78,3116.21
31,2434.10,2587.45,3151.06
32,2426.38,2502.30,2965.15
33,2405.61,2526.51,3114.11
34,2405.61,2560.11,3138.20
35,2398.41,2598.71,3161.70
36,2382.46,2553.57,3310.44
37,2382.46,2540.02,3147.89
38,2369.92,2464.39,3018.20
39,2369.92,2443.76,3243.40
40,2369.92,2388.37,3010.21
41,2369.92,2384.00,2838.40
42,2356.35,2371.29,2520.36
43,2356.35,2379.27,2601.97
44,2340.38,2381.34,2857.70
45,2302.11,2405.42,3043.77
46,2302.11,2370.55,2877.51
47,2302.11,2356.06,2932.57
48,2299.29,2316.48,2833.33
49,2299.29,2312.11,2887.28
50,2299.29,2348.75,2927.28
51,2299.29,2326.83,2927.28
52,2299.29,2310.53,2838.58
53,2299.29,2315.37,2822.86
54,2299.29,2302.00,2570.15
55,2271.90,2306.55,2784.55
56,2271.90,2319.80,3051.71
57,2269.55,2319.94,2794.07
58,2259.85,2279.69,2450.61
59,2259.85,2277.03,2767.14
60,2257.50,2282.93,2845.13
61,2257.50,2266.62,2834.02
