Generation,Best,Average,Worst
0,3086.62,3589.51,4133.60
1,3033.37,3525.98,4145.21
2,2961.67,3475.56,4033.57
3,2860.55,3426.37,4023.13
4,2860.55,3378.75,3894.88
5,2771.04,3349.64,4066.53
6,2771.04,3316.29,3819.53
7,2771.04,3276.62,3847.20
8,2508.52,3245.53,3855.87
9,2508.52,3214.05,3869.52
10,2508.52,3178.20,3837.83
11,2508.52,3147.44,3831.09
12,2508.52,3124.24,3813.85
13,2508.52,3102.86,3696.56
14,2492.40,3070.65,3614.60
15,2492.40,3037.93,3697.94
16,2470.24,3007.17,3566.71
17,2453.24,2969.94,3601.64
18,2453.24,2939.73,3543.04
19,2389.37,2923.51,3560.64
20,2384.33,2895.10,3508.16
21,2384.33,2880.18,3492.09
22,2384.33,2855.81,3416.91
23,2367.64,2822.05,3379.02
24,2367.64,2806.33,3497.62
25,2367.64,2791.50,3419.30
26,2365.00,2775.03,3291.56
27,2308.92,2767.27,3400.50
28,2308.92,2748.01,3314.30
29,2279.18,2742.21,3300.10
30,2279.18,2739.78,3254.31
31,2279.18,2742.60,3297.55
32,2279.18,2742.59,3376.38
33,2272.43,2729.15,3333.26
34,2272.43,2731.45,3289.20
35,2272.43,2734.26,3301.36
36,2232.88,2739.10,3318.42
37,2232.88,2729.02,3375.45
38,2232.88,2719.83,3329.03
39,2232.88,2727.37,3385.70
40,2232.88,2719.40,3297.64
41,2232.88,2724.41,3288.27
42,2232.88,2734.11,3339.94
43,2232.88,2733.50,3354.76
44,2232.88,2715.00,3295.01
45,2232.13,2690.99,3215.04
46,2159.57,2678.14,3340.61
47,2159.57,2676.30,3261.95
48,2159.57,2644.67,3266.01
49,2159.57,2622.16,3265.06
50,2159.57,2615.78,3390.11
51,2159.57,2605.91,3199.27
52,2159.57,2606.78,3270.75
53,2159.57,2608.56,3153.21
54,2159.57,2613.16,3231.54
55,2159.57,2600.79,3301.95
56,2159.57,2610.44,3277.48
57,2159.57,2612.95,3153.76
58,2159.57,2615.35,3204.75
59,2159.57,2621.65,3159.85
60,2159.57,2616.69,3150.92
61,2159.57,2628.09,3363.43
62,2159.57,2626.76,3239.11
63,2159.57,2624.85,3266.86
64,2159.57,2616.57,3232.26
65,2159.57,2611.14,3174.37
66,2159.57,2602.32,3257.27
67,2159.57,2603.84,3166.78
68,2159.57,2588.89,3201.98
69,2145.66,2592.22,3273.56
70,2145.66,2594.77,3154.57
71,2145.66,2586.82,3100.74
72,2145.66,2579.29,3106.83
73,2145.66,2583.29,3196.16
74,2081.17,2566.17,3108.45
75,2081.17,2567.64,3151.22
76,2081.17,2569.02,3159.20
77,2081.17,2567.71,3306.80
78,2081.17,2555.76,3200.85
79,2081.17,2561.53,3206.02
80,2081.17,2547.59,3183.48
81,2071.16,2557.41,3210.07
82,2071.16,2566.08,3162.70
83,2071.16,2560.28,3173.13
84,2071.16,2567.72,3131.33
85,2071.16,2557.97,3251.93
86,2071.16,2548.62,3159.55
87,2071.16,2544.03,3222.17
88,2071.16,2547.23,3385.36
89,2061.33,2551.32,3144.24
90,2061.33,2541.94,3192.88
91,2061.33,2534.65,3286.35
92,2061.33,2525.25,3196.09
93,2061.33,2502.08,3230.32
94,2061.33,2486.37,3117.26
95,2061.33,2467.25,3185.76
96,2061.33,2436.00,3080.83
97,2061.33,2417.47,3117.10
98,2061.33,2395.18,3158.80
99,2059.21,2363.92,3047.40
100,2059.21,2342.48,3050.13
101,2054.14,2321.50,3160.32
102,2054.14,2293.20,3048.44
103,2054.14,2254.12,2931.77
104,2033.83,2224.21,2951.19
105,2033.83,2169.42,2911.25
106,2033.83,2133.97,2947.59
107,2033.83,2115.48,2753.26
108,2013.28,2101.78,2764.96
109,2003.61,2095.79,2781.27
110,2003.61,2083.08,2827.07
111,2003.61,2078.03,2872.58
112,1993.65,2053.39,2770.42
113,1967.76,2058.21,2789.11
114,1961.45,2055.88,2811.92
115,1952.45,2052.13,2781.11
116,1951.35,2045.97,2818.63
117,1943.48,2032.82,2791.33
118,1918.36,2022.54,2698.92
