Generation,Best,Average,Worst
0,3064.75,3585.22,4106.34
1,3064.75,3508.71,4054.08
2,2922.87,3435.34,4026.02
3,2853.37,3380.62,3967.73
4,2784.89,3331.97,3991.61
5,2784.89,3283.17,3799.99
6,2657.47,3245.76,3826.79
7,2657.47,3198.44,3738.90
8,2657.47,3144.82,3779.85
9,2555.44,3102.99,3750.09
10,2555.44,3056.87,3591.98
11,2555.44,3023.49,3588.96
12,2472.44,3001.30,3646.96
13,2472.44,2979.19,3547.44
14,2413.77,2954.44,3487.47
15,2413.77,2946.85,3562.54
16,2413.77,2930.63,3444.49
17,2394.05,2931.39,3534.47
18,2394.05,2916.81,3518.46
19,2301.32,2895.12,3560.42
20,2301.32,2872.52,3460.56
21,2294.69,2834.21,3546.14
22,2294.69,2777.68,3437.65
23,2193.78,2720.66,3321.89
24,2193.78,2653.64,3314.06
25,2193.78,2611.82,3238.91
26,2193.78,2588.45,3156.85
27,2193.78,2565.46,3107.01
28,2178.80,2553.45,3255.79
29,2113.91,2552.28,3157.07
30,2113.91,2534.69,3207.19
31,2113.91,2514.44,3027.23
32,2113.91,2519.19,3190.19
33,2113.91,2502.72,3001.30
34,2073.05,2487.59,3155.78
35,2070.27,2461.09,3086.14
36,2070.27,2434.37,3111.29
37,2070.27,2404.52,3239.94
38,2045.89,2387.96,3100.56
39,2015.22,2373.57,3032.14
40,1990.20,2349.78,2996.39
41,1990.20,2334.56,3046.86
42,1968.04,2321.91,2917.58
43,1934.70,2315.96,3140.66
44,1934.70,2314.53,2955.92
45,1934.70,2294.80,3014.89
46,1934.70,2244.40,2923.54
47,1906.09,2200.60,2871.46
48,1896.38,2147.74,2844.01
49,1886.40,2102.38,2673.74
50,1886.40,2048.79,2817.90
51,1881.35,2039.98,2831.09
52,1881.35,2038.61,2718.84
53,1850.43,2037.44,2730.41
54,1845.38,2049.22,2818.26
55,1839.03,2059.41,2919.53
56,1839.03,2049.96,2879.62
57,1821.92,2012.85,2851.45
58,1809.18,1960.48,2830.43
59,1790.98,1920.55,2846.64
60,1781.49,1898.67,2789.31
61,1781.49,1899.12,2662.91
62,1763.25,1885.34,2793.15
63,1763.25,1835.58,2620.30
64,1744.42,1797.11,2506.42
65,1733.31,1789.27,2252.87
66,1733.31,1781.67,2281.68
67,1726.98,1765.12,2246.06
68,1720.97,1757.34,2383.59
69,1720.97,1749.39,2536.62
70,1720.97,1739.24,2456.04
71,1716.58,1737.97,2436.51
72,1716.58,1728.85,2393.87
73,1710.56,1728.70,2213.24
74,1709.82,1729.38,2428.60
75,1709.82,1728.17,2282.65
76,1704.97,1723.35,2228.28
77,1704.23,1715.03,2096.98
78,1704.23,1716.52,2479.16
79,1699.07,1718.90,2472.96
80,1688.92,1715.80,2421.97
81,1684.90,1714.35,2342.07
82,1677.43,1717.34,2444.79
83,1671.91,1720.58,2422.59
84,1668.03,1716.27,2375.52
85,1667.89,1711.60,2271.40
86,1667.89,1696.56,2584.01
87,1663.74,1704.93,2429.71
88,1659.36,1695.41,2382.46
89,1659.21,1687.09,2390.29
90,1659.21,1688.04,2278.38
91,1659.21,1683.50,2312.24
92,1659.21,1681.21,2309.23
93,1659.21,1671.57,2314.74
94,1659.21,1666.36,2164.36
95,1657.46,1668.96,2427.62
96,1657.46,1666.50,2384.89
97,1657.46,1665.26,2308.06
98,1657.46,1667.05,2412.15
99,1657.46,1672.05,2370.09
100,1657.46,1667.45,2514.96
101,1654.48,1660.15,1981.15
102,1654.48,1667.76,2363.84
103,1654.48,1665.86,2537.34
104,1654.48,1671.25,2425.86
105,1654.48,1685.92,2407.57
106,1654.48,1676.80,2371.92
107,1654.48,1661.19,2518.23
108,1654.48,1659.72,2360.87
109,1654.48,1661.54,2130.35
110,1654.48,1659.79,2313.27
111,1654.48,1659.17,2159.81
112,1654.48,1659.59,2387.31
113,1654.48,1659.72,2126.38
114,1654.48,1659.98,2421.43
115,1653.88,1660.40,2206.09
116,1653.88,1659.71,2334.80
117,1653.88,1662.21,2297.87
118,1653.88,1660.38,2565.92
119,1643.36,1660.65,2153.42
120,1643.36,1662.81,2203.60
