Generation,Best,Average,Worst
0,3066.15,3521.32,4029.54
1,2942.30,3392.09,3930.12
2,2910.87,3297.05,3919.82
3,2762.97,3216.11,3872.52
4,2762.97,3180.15,3729.48
5,2762.97,3126.60,3681.50
6,2750.29,3062.39,3641.78
7,2717.78,2976.39,3567.75
8,2636.41,2835.91,3355.24
9,2620.58,2813.54,3408.74
10,2611.38,2775.40,3256.61
11,2602.35,2762.47,3272.79
12,2569.10,2694.77,3267.08
13,2496.86,2663.11,3032.83
14,2484.34,2660.60,3173.53
15,2447.22,2635.44,3259.06
16,2429.85,2622.34,3194.28
17,2345.09,2584.23,3264.67
18,2328.32,2528.26,3231.66
19,2277.36,2428.95,3321.88
20,2277.36,2399.84,3023.67
21,2252.59,2395.32,2923.91
22,2249.95,2380.36,3295.93
23,2208.40,2345.27,3085.52
24,2194.26,2354.87,3177.14
25,2194.26,2306.89,3040.95
26,2167.25,2244.96,3035.28
27,2167.25,2213.09,2841.41
28,2155.05,2192.95,3066.72
29,2155.05,2201.84,3117.52
30,2134.24,2230.59,3137.27
31,2134.24,2238.21,3117.83
32,2134.24,2172.94,2592.22
33,2129.93,2182.04,2907.27
34,2129.93,2154.80,2750.45
35,2124.63,2163.14,2777.45
36,2124.63,2185.07,2927.46
37,2124.63,2200.82,3075.94
38,2124.63,2200.64,3097.46
39,2121.24,2207.11,3087.93
40,2121.24,2136.87,2879.13
41,2116.53,2166.72,3047.07
42,2089.48,2240.48,3169.92
43,2089.48,2236.67,3175.85
44,2089.38,2246.29,3255.11
45,2089.38,2289.73,3256.58
46,2089.38,2184.70,3245.51
47,2089.38,2117.27,2770.40
48,2089.08,2153.02,2831.34
49,2057.45,2166.49,2921.93
