Generation,Best,Average,Worst
0,2980.57,3514.58,3970.55
1,2980.57,3423.17,3921.13
2,2882.87,3341.14,3935.90
3,2882.87,3237.44,3729.76
4,2817.70,3097.06,3636.96
5,2773.83,3053.41,3643.67
6,2593.73,3014.59,3541.53
7,2573.84,2948.03,3623.92
8,2498.26,2891.63,3564.58
9,2411.64,2776.63,3422.19
10,2381.21,2665.95,3308.38
11,2381.21,2601.57,3377.99
12,2331.79,2516.81,3136.68
13,2326.80,2458.87,3105.94
14,2326.80,2473.15,3075.21
15,2233.50,2474.56,3063.70
16,2233.50,2415.32,3126.51
17,2230.87,2380.43,2948.09
18,2175.06,2345.97,2942.97
19,2124.10,2276.15,2825.69
20,2124.10,2287.94,3029.00
21,2088.64,2282.04,2831.03
22,2083.60,2255.05,2845.28
23,2079.15,2124.62,2648.40
24,2074.11,2101.66,2639.36
25,2065.85,2095.18,2598.73
26,2060.81,2090.73,2759.80
27,2056.92,2088.01,2620.87
28,2055.68,2075.64,2552.11
29,2014.47,2101.16,2766.87
30,2014.47,2122.57,2788.48
31,2014.47,2137.37,2789.44
32,1996.40,2107.70,2744.61
33,1996.40,2027.62,2696.44
34,1969.77,2033.16,2672.68
35,1963.45,2053.59,2703.46
36,1951.70,2053.07,2756.32
37,1945.37,2064.91,2659.70
38,1930.54,1989.82,2658.76
39,1930.54,1979.30,2698.33
40,1924.21,1964.47,2545.30
41,1924.21,1982.40,2684.45
42,1924.21,1933.48,2779.26
43,1920.44,1940.34,2783.17
44,1908.07,1942.68,2680.31
45,1908.07,1955.78,2669.51
46,1900.22,1958.80,2747.42
47,1900.22,1955.65,2619.80
48,1900.22,1926.08,2727.90
49,1891.78,1917.72,2630.92
