Generation,Best,Average,Worst
0,3034.90,3560.02,4138.18
1,2987.10,3458.75,4083.24
2,2773.41,3395.82,4121.74
3,2773.41,3352.44,3901.54
4,2773.41,3318.64,3835.52
5,2773.41,3272.27,3841.61
6,2717.11,3242.85,3809.52
7,2687.51,3227.16,3725.53
8,2666.24,3181.40,3752.22
9,2666.24,3113.85,3742.03
10,2598.16,3064.23,3667.24
11,2497.65,3020.91,3741.71
12,2497.65,2981.42,3587.36
13,2426.81,2944.32,3429.78
14,2426.81,2921.87,3598.08
15,2372.67,2894.00,3662.49
16,2372.67,2872.01,3521.12
17,2309.73,2863.50,3470.07
18,2309.73,2853.91,3535.12
19,2309.73,2848.67,3377.28
20,2309.73,2830.59,3381.84
21,2302.19,2807.07,3287.48
22,2187.00,2778.56,3459.11
23,2187.00,2743.44,3408.47
24,2187.00,2719.30,3270.34
25,2187.00,2705.03,3310.97
26,2187.00,2696.58,3308.76
27,2187.00,2692.36,3220.10
28,2187.00,2688.53,3291.73
29,2165.64,2684.54,3233.40
30,2165.64,2671.97,3286.56
31,2165.64,2661.32,3334.38
32,2160.54,2646.58,3324.94
33,2160.54,2619.70,3150.53
34,2160.54,2615.92,3154.82
35,2160.54,2612.53,3199.58
36,2160.54,2615.72,3174.82
37,2136.93,2591.53,3209.71
38,2077.82,2568.02,3290.12
39,2077.82,2534.69,3094.70
40,2077.82,2477.56,3185.80
41,2072.08,2419.46,3131.64
42,2072.08,2305.50,2971.87
43,2055.09,2249.33,3138.65
44,2052.54,2274.03,2898.57
45,2042.14,2287.74,2853.73
46,2040.67,2248.76,2776.94
47,2037.87,2224.75,2804.81
48,2005.61,2173.85,2837.74
49,2005.61,2118.57,2728.57
50,2005.61,2102.71,2791.69
51,1986.53,2091.99,2769.13
52,1986.53,2056.30,2669.80
53,1956.85,2018.41,2548.43
54,1956.85,2018.95,2715.03
55,1956.85,2007.10,2426.40
56,1931.14,1993.89,2566.94
57,1931.14,1968.56,2292.51
58,1925.35,1978.54,2274.70
59,1923.99,1981.72,2409.86
60,1918.20,1951.05,2225.48
61,1912.97,1955.13,2306.07
62,1902.73,1965.64,2419.93
63,1902.73,1942.03,2395.13
64,1902.73,1946.26,2541.39
65,1902.73,1939.95,2416.03
66,1902.73,1905.62,2303.13
67,1879.96,1905.54,2364.22
68,1879.96,1906.08,2498.67
69,1879.96,1904.60,2207.87
70,1879.96,1911.41,2434.23
71,1879.96,1892.64,2310.99
72,1879.96,1882.81,2349.31
73,1853.04,1882.45,2416.13
74,1853.04,1881.92,2321.03
75,1853.04,1882.70,2079.02
76,1853.04,1889.46,2429.35
77,1853.04,1875.26,2403.69
78,1853.04,1854.32,2283.96
79,1853.04,1854.45,2155.35
80,1848.41,1855.06,2375.58
81,1848.41,1854.79,2247.69
82,1848.41,1854.55,2416.19
83,1848.41,1856.24,2272.24
84,1848.41,1849.69,2209.09
85,1848.41,1851.08,2417.33
86,1848.41,1849.04,2121.81
87,1848.41,1851.56,2210.96
88,1848.41,1849.58,2230.89
89,1848.41,1850.34,2205.15
90,1848.41,1849.98,2070.12
91,1841.35,1850.07,2274.63
