Generation,Best,Average,Worst
0,2977.12,3570.21,4076.68
1,2977.12,3471.90,4011.98
2,2977.12,3402.63,3944.84
3,2939.12,3348.02,3943.09
4,2882.25,3318.49,3843.68
5,2755.41,3287.52,3887.13
6,2625.04,3245.78,3840.98
7,2625.04,3190.82,3781.39
8,2439.50,3169.41,3734.01
9,2439.50,3140.77,3836.20
10,2439.50,3120.01,3750.01
11,2439.50,3107.08,3679.62
12,2439.50,3081.24,3589.75
13,2439.50,3059.92,3572.98
14,2307.85,3052.05,3640.26
15,2307.85,3038.69,3655.03
16,2307.85,3033.51,3650.55
17,2307.85,2997.75,3653.79
18,2307.85,2985.46,3639.28
19,2307.85,2967.40,3536.92
20,2307.85,2957.51,3486.90
21,2307.85,2965.59,3532.97
22,2307.85,2947.66,3542.29
23,2307.85,2917.07,3462.64
24,2307.85,2894.77,3422.11
25,2307.85,2878.03,3445.90
26,2307.85,2853.45,3532.60
27,2307.85,2849.78,3441.31
28,2307.85,2851.53,3506.93
29,2289.36,2812.23,3455.30
30,2259.43,2785.71,3446.98
31,2225.75,2781.09,3422.60
32,2225.75,2751.04,3367.43
33,2225.75,2738.74,3384.04
34,2225.75,2713.85,3385.12
35,2225.75,2677.75,3314.32
36,2221.06,2622.08,3402.09
37,2221.06,2557.55,3326.92
38,2221.06,2531.63,3393.15
39,2221.06,2536.78,3301.37
40,2191.59,2494.76,3283.73
41,2191.59,2498.45,3268.39
42,2178.17,2467.04,3334.93
43,2178.17,2431.32,3169.29
44,2167.45,2421.46,3102.86
45,2167.45,2409.82,3140.35
46,2152.16,2396.05,3034.07
47,2127.62,2381.38,3016.20
48,2127.62,2353.54,3028.91
49,2111.55,2327.31,3007.11
