Generation,Best,Average,Worst
0,2995.43,3494.14,4030.43
1,2760.75,3353.26,4073.29
2,2699.48,3245.03,3888.73
3,2699.48,3150.63,3908.64
4,2610.75,3093.72,3757.79
5,2610.75,3012.60,3687.35
6,2610.75,2926.88,3643.13
7,2573.36,2818.97,3594.90
8,2573.36,2782.46,3641.88
9,2484.01,2658.29,3522.77
10,2484.01,2699.46,3612.25
11,2484.01,2625.61,3376.76
12,2393.51,2672.74,3602.88
13,2393.51,2675.36,3450.52
14,2393.51,2583.92,3465.83
15,2346.17,2519.20,3410.97
16,2327.80,2399.99,3260.87
17,2318.08,2383.24,3026.72
18,2303.46,2367.96,3115.73
19,2300.43,2394.09,3025.04
20,2271.65,2357.77,3031.72
21,2263.66,2380.44,3068.42
22,2231.39,2361.79,3168.80
23,2220.29,2379.26,3210.05
24,2216.59,2331.70,3134.60
25,2205.49,2310.88,3051.00
26,2200.90,2286.35,3157.66
27,2155.13,2279.57,3082.72
28,2155.13,2250.84,3004.40
29,2141.10,2279.04,3053.83
30,2141.10,2258.35,3144.77
31,2141.10,2179.04,2996.20
32,2133.65,2207.35,3049.16
33,2133.65,2155.44,3049.16
34,2120.93,2152.95,2934.94
35,2101.94,2142.70,2766.64
36,2101.94,2161.42,2943.55
37,2094.50,2149.87,3093.66
38,2089.04,2120.79,2976.18
39,2084.57,2105.39,2709.26
40,2084.56,2109.48,2829.43
41,2052.92,2123.86,2912.47
42,2032.41,2116.96,2859.52
43,2027.94,2123.20,3072.04
44,2016.81,2151.12,3099.96
45,2016.81,2120.77,3106.75
46,2016.81,2063.77,3023.02
47,2016.81,2053.68,2694.11
48,2011.41,2033.56,2954.21
49,2011.41,2023.92,2610.81
50,2011.04,2040.39,2695.80
51,1992.38,2072.79,2816.55
52,1992.38,2047.12,2698.31
53,1992.38,2088.58,2875.99
54,1983.69,2071.55,2890.83
55,1983.69,2009.78,2783.36
56,1983.69,2009.69,2749.38
57,1981.20,2001.91,2728.26
58,1979.42,1997.67,2685.67
59,1957.45,1997.52,2754.52
60,1954.96,1999.24,2909.39
61,1952.27,2032.69,2954.70
62,1939.62,2046.17,2975.49
63,1937.13,1995.64,2872.93
64,1937.13,2040.93,2860.93
65,1937.13,1966.48,2854.09
66,1937.13,1947.89,2577.03
67,1937.13,1945.01,2570.53
68,1937.13,1944.18,2783.36
69,1935.49,1943.07,2616.48
70,1935.49,1942.77,2507.49
71,1935.49,1941.86,2497.28
72,1918.20,1944.20,2553.14
73,1918.20,1941.57,2512.76
74,1918.20,1965.18,2758.21
75,1918.20,1992.54,2656.42
76,1918.20,1926.73,2663.34
77,1918.20,1923.57,2578.78
78,1918.20,1922.01,2556.82
79,1918.20,1921.57,2342.24
80,1917.67,1925.20,2530.09
81,1915.93,1925.95,2751.59
82,1915.93,1941.46,2623.10
83,1910.89,1975.60,2734.75
84,1910.89,1973.49,2867.75
85,1909.15,1955.38,2734.87
86,1908.62,2005.81,2781.18
87,1908.62,2008.44,2773.74
88,1907.50,1987.71,2765.93
89,1905.52,1916.13,2664.34
90,1905.52,1931.99,2678.75
91,1905.52,1968.46,2772.06
92,1904.40,2024.92,3005.77
93,1904.40,2006.40,2879.85
94,1896.78,1940.39,2735.34
95,1896.78,1908.41,2596.23
96,1896.78,1910.72,2480.28
97,1896.78,1908.86,2663.94
98,1896.78,1903.15,2399.48
99,1896.78,1902.95,2294.93
100,1896.78,1900.51,2478.19
101,1896.78,1903.86,2646.33
102,1896.78,1903.76,2506.37
103,1896.78,1902.38,2450.35
104,1896.78,1901.79,2491.50
105,1896.78,1900.97,2291.70
106,1886.77,1905.34,2764.92
107,1886.77,1902.02,2568.69
108,1886.77,1911.88,2697.77
109,1882.25,1914.76,2657.11
110,1882.25,1895.67,2659.74
111,1882.25,1919.73,2797.32
112,1882.25,1998.60,2779.08
113,1882.25,1890.80,2779.08
114,1881.31,1887.45,2308.81
115,1878.06,1891.46,2776.24
116,1878.06,1903.81,2835.57
117,1878.06,1945.14,2910.79
118,1878.06,1944.55,2859.36
119,1878.06,1888.81,2738.78
120,1878.06,1885.36,2598.40
121,1878.06,1884.30,2327.64
122,1876.43,1882.89,2393.32
123,1876.43,1885.68,2639.07
124,1876.43,1892.29,2677.15
125,1857.21,1900.54,2639.07
126,1855.58,1888.46,2642.67
127,1855.58,1913.68,2754.95
128,1853.87,1979.25,2641.23
129,1853.87,1931.74,2857.84
130,1848.92,1876.06,2480.73
131,1842.21,1900.86,2498.80
132,1842.21,1920.18,2914.45
133,1842.21,1919.35,2884.88
134,1841.04,1862.02,2729.69
