Generation,Best,Average,Worst
0,3112.88,3580.51,4214.84
1,2962.67,3468.94,4025.52
2,2745.73,3384.43,3974.14
3,2745.73,3293.97,3849.48
4,2745.73,3228.84,3793.96
5,2745.73,3201.32,3688.84
6,2576.63,3180.99,3658.34
7,2576.63,3148.36,3708.94
8,2576.63,3114.32,3699.31
9,2561.81,3080.43,3631.91
10,2561.81,3047.95,3616.63
11,2514.31,3009.86,3531.48
12,2514.31,2993.94,3508.84
13,2513.86,2951.71,3464.10
14,2474.84,2900.48,3338.19
15,2472.23,2899.78,3390.16
16,2472.23,2916.55,3446.36
17,2403.40,2907.51,3341.09
18,2403.40,2893.80,3434.14
19,2345.46,2863.02,3326.16
20,2345.46,2862.48,3326.38
21,2344.95,2847.03,3367.11
22,2344.95,2827.04,3404.86
23,2344.95,2800.36,3380.85
24,2344.95,2793.19,3217.16
25,2340.02,2789.62,3291.66
26,2329.44,2779.15,3272.34
27,2329.44,2768.58,3270.43
28,2328.08,2762.79,3425.66
29,2318.91,2749.95,3487.87
30,2267.31,2755.77,3374.79
31,2267.31,2760.69,3324.87
32,2267.31,2734.73,3327.61
33,2159.95,2715.86,3213.42
34,2159.95,2707.97,3393.44
35,2159.95,2708.52,3138.88
36,2159.95,2708.93,3224.45
37,2159.95,2675.55,3128.54
38,2159.95,2667.45,3140.07
39,2159.95,2642.06,3249.50
40,2159.95,2628.01,3085.12
41,2159.95,2621.82,3091.30
42,2159.95,2605.00,3175.11
43,2159.95,2578.49,3079.43
44,2159.95,2575.11,3062.18
45,2117.66,2562.70,3100.77
46,2117.66,2547.14,2967.96
47,2081.53,2538.75,3062.18
48,2081.53,2542.81,2982.48
49,1989.03,2540.93,3189.52
50,1989.03,2535.64,2966.12
51,1989.03,2532.14,3007.78
52,1989.03,2546.48,3023.50
53,1989.03,2541.28,3040.79
54,1989.03,2534.47,3063.00
55,1989.03,2525.58,2968.69
56,1989.03,2528.03,3140.99
57,1989.03,2497.37,3058.73
58,1989.03,2485.68,3010.11
59,1989.03,2465.83,3025.79
60,1989.03,2432.68,3044.57
61,1989.03,2414.80,2986.58
62,1989.03,2406.42,2875.78
63,1989.03,2414.03,2803.87
64,1989.03,2408.10,2889.97
65,1989.03,2434.17,3011.79
66,1989.03,2417.36,2899.70
67,1989.03,2417.71,2917.81
68,1989.03,2414.32,2934.57
69,1987.04,2413.58,2928.13
70,1987.04,2398.19,3083.95
71,1923.79,2386.58,2876.91
72,1903.08,2361.80,2965.46
73,1903.08,2373.67,3009.50
74,1862.73,2363.80,2948.51
75,1862.73,2376.85,2889.83
76,1862.73,2359.75,2893.25
77,1862.73,2348.83,2952.91
78,1862.73,2351.29,2891.83
79,1862.73,2338.30,2819.79
80,1858.61,2332.08,2811.00
81,1858.61,2312.41,2854.53
82,1858.61,2308.10,2794.45
83,1851.00,2273.47,2799.36
84,1851.00,2241.82,2837.88
85,1828.60,2223.21,2827.84
86,1827.53,2156.99,2659.12
87,1797.96,2109.58,2704.47
88,1792.65,2059.73,2679.84
89,1771.53,2017.62,2589.70
90,1750.57,1985.14,2603.30
91,1732.56,1944.76,2572.14
92,1726.62,1915.86,2472.52
93,1726.62,1901.09,2443.34
94,1721.17,1869.16,2410.46
95,1721.17,1877.75,2507.22
96,1700.33,1835.07,2446.24
97,1700.33,1836.97,2411.53
98,1700.33,1859.90,2390.28
99,1700.33,1845.26,2535.47
100,1700.33,1814.68,2470.25
101,1700.33,1808.28,2531.16
102,1700.33,1844.68,2432.01
103,1700.33,1828.55,2513.06
104,1700.33,1868.10,2444.36
105,1700.33,1852.57,2508.10
106,1700.33,1747.29,2374.01
107,1700.33,1701.71,1936.22
108,1700.33,1703.47,2093.13
109,1700.33,1701.79,2049.74
110,1693.55,1701.45,1971.23
111,1693.55,1702.30,2081.93
112,1693.55,1701.85,2092.69
113,1693.55,1713.78,2090.83
114,1693.55,1704.79,2092.69
115,1693.55,1693.69,1748.99
116,1693.55,1698.14,2047.70
117,1693.55,1694.80,1898.19
118,1693.55,1696.64,2243.44
119,1693.55,1695.64,1987.77
120,1693.55,1697.64,2119.74
121,1693.55,1694.77,2012.56
122,1693.55,1695.12,1941.36
123,1693.55,1697.93,2289.15
124,1693.55,1696.25,2147.30
125,1693.55,1695.84,1953.80
126,1693.55,1694.48,1986.80
127,1693.55,1694.92,2011.05
128,1693.55,1696.04,2026.64
129,1693.55,1694.86,1952.87
130,1693.12,1695.75,1949.04
131,1693.12,1696.32,2085.56
132,1693.12,1694.93,2135.82
133,1692.90,1694.05,1868.26
134,1692.90,1697.74,2081.95
135,1692.90,1695.08,1922.21
136,1692.90,1697.17,1953.16
137,1692.90,1697.29,1962.30
138,1692.90,1694.35,2052.47
139,1692.90,1695.11,1954.52
140,1692.24,1695.12,2152.41
141,1692.24,1694.43,2049.58
142,1691.20,1694.18,1930.74
143,1691.20,1698.62,2149.34
144,1690.53,1705.80,2181.62
145,1690.53,1713.88,2089.87
146,1690.53,1732.29,2090.42
147,1690.53,1747.01,2115.56
148,1690.53,1722.35,2158.65
149,1690.53,1692.62,2038.67
150,1690.53,1690.85,1817.00
151,1690.53,1690.94,1790.77
152,1690.53,1691.72,2139.15
153,1690.53,1691.51,2049.43
154,1690.53,1691.75,2011.95
155,1690.53,1692.77,1943.54
156,1690.53,1691.62,1973.09
157,1690.53,1693.19,2121.81
158,1690.53,1692.79,2090.19
159,1686.02,1693.55,2084.79
160,1686.02,1695.33,2072.73
