Generation,Best,Average,Worst
0,3107.85,3610.71,4090.57
1,3105.02,3536.64,4099.82
2,2949.88,3473.91,4047.23
3,2931.16,3420.44,4003.05
4,2923.76,3388.48,3929.72
5,2840.14,3365.32,3921.08
6,2796.02,3328.68,3930.86
7,2796.02,3319.96,3946.47
8,2768.60,3304.33,3883.84
9,2768.60,3278.94,3818.72
10,2697.24,3268.13,3779.02
11,2697.24,3246.01,3871.64
12,2697.24,3212.26,3828.84
13,2694.86,3193.27,3834.87
14,2694.86,3181.04,3807.26
15,2647.51,3130.99,3821.03
16,2629.49,3103.07,3742.04
17,2629.49,3061.80,3716.63
18,2517.28,3035.06,3553.95
19,2505.47,3014.59,3542.49
20,2505.47,3011.46,3646.22
21,2505.14,3004.37,3629.48
22,2505.14,2988.32,3553.05
23,2505.14,2960.47,3548.44
24,2485.03,2964.42,3642.30
25,2485.03,2963.05,3787.98
26,2485.03,2951.61,3567.59
27,2464.61,2941.61,3516.95
28,2464.61,2930.34,3594.25
29,2464.61,2926.71,3510.03
30,2464.61,2925.42,3536.31
31,2464.61,2932.88,3514.00
32,2464.61,2924.87,3510.64
33,2464.61,2931.66,3756.19
34,2451.37,2912.59,3486.25
35,2341.69,2898.95,3635.50
36,2341.69,2892.28,3466.21
37,2341.69,2882.25,3517.67
38,2341.69,2887.68,3536.51
39,2341.69,2877.51,3562.93
40,2341.69,2878.30,3574.16
41,2341.69,2873.85,3444.82
42,2341.69,2853.76,3600.94
43,2341.69,2852.41,3392.29
44,2341.69,2846.03,3507.79
45,2333.93,2844.17,3464.63
46,2333.93,2839.01,3505.39
47,2330.15,2835.21,3594.71
48,2330.15,2826.52,3436.86
49,2330.15,2818.33,3374.50
50,2319.98,2810.70,3636.83
51,2319.98,2805.86,3351.38
52,2316.25,2809.61,3523.61
53,2316.25,2818.51,3446.14
54,2299.16,2812.64,3465.96
55,2299.16,2795.87,3440.47
56,2299.16,2801.79,3367.90
57,2299.16,2788.48,3353.06
58,2299.16,2798.19,3534.12
59,2299.16,2791.11,3370.51
60,2299.16,2793.20,3554.38
61,2295.87,2781.49,3445.40
62,2295.87,2781.81,3310.35
63,2295.87,2780.12,3394.35
64,2292.99,2771.61,3379.29
65,2292.99,2759.68,3326.19
66,2292.99,2757.37,3368.76
67,2285.85,2749.75,3514.38
68,2285.85,2746.51,3402.56
69,2285.85,2740.17,3368.55
70,2285.85,2733.26,3438.32
71,2234.33,2744.65,3436.23
72,2234.33,2744.74,3362.88
73,2234.33,2727.36,3431.92
74,2234.33,2718.46,3629.67
