Generation,Best,Average,Worst
0,2959.37,3563.90,4126.71
1,2769.21,3469.03,4093.09
2,2763.40,3404.55,4058.70
3,2763.40,3337.29,3841.13
4,2763.40,3273.65,3879.57
5,2742.95,3212.13,3773.93
6,2700.95,3160.75,3684.53
7,2580.60,3116.70,3713.52
8,2567.51,3071.26,3719.75
9,2460.84,3027.21,3648.51
10,2460.84,2979.98,3603.68
11,2392.44,2939.16,3546.55
12,2392.44,2919.26,3539.34
13,2392.44,2896.29,3471.21
14,2326.12,2865.05,3445.17
15,2326.12,2847.03,3472.30
16,2326.12,2836.90,3396.41
17,2326.12,2815.45,3391.92
18,2274.18,2806.14,3605.40
19,2208.91,2809.39,3362.34
20,2195.80,2787.82,3358.62
21,2195.80,2772.23,3321.40
22,2187.25,2758.38,3433.14
23,2187.25,2754.24,3313.10
24,2187.25,2767.32,3370.63
25,2187.25,2742.62,3357.95
26,2187.25,2727.39,3356.78
27,2187.25,2730.59,3318.80
28,2187.25,2731.71,3432.68
29,2187.25,2726.89,3348.33
30,2187.25,2726.94,3241.40
31,2187.25,2733.15,3266.36
32,2187.25,2714.74,3417.92
33,2187.25,2715.94,3384.61
34,2187.25,2708.14,3291.44
35,2182.91,2699.63,3311.97
36,2156.66,2695.28,3333.94
37,2156.66,2672.47,3198.60
38,2156.66,2673.61,3303.58
39,2156.66,2655.13,3286.57
40,2156.66,2653.05,3261.04
41,2156.66,2631.73,3218.18
42,2156.66,2618.32,3340.51
43,2156.66,2584.76,3111.46
44,2122.87,2563.30,3079.36
45,2122.87,2555.67,3092.50
46,2122.87,2552.03,3297.12
47,2092.82,2530.77,3103.18
48,2092.82,2516.45,3089.08
49,2092.82,2515.10,3053.47
