Generation,Best,Average,Worst
0,2994.08,3490.58,4010.61
1,2921.38,3345.34,3965.20
2,2921.38,3194.69,3656.96
3,2916.53,3051.95,3412.41
4,2878.68,2991.90,3448.49
5,2859.20,2986.57,3436.42
6,2829.83,2964.52,3403.44
7,2809.67,2932.53,3342.66
8,2755.21,2940.81,3423.80
9,2735.02,2885.59,3512.50
10,2683.36,2802.01,3188.31
11,2683.36,2783.50,3101.95
12,2599.60,2793.06,3168.98
13,2527.34,2767.20,3226.23
14,2527.34,2757.66,3312.11
15,2526.06,2689.53,3216.86
16,2499.03,2689.31,3190.72
17,2499.03,2546.66,3009.15
18,2499.03,2525.44,2924.07
19,2420.27,2528.68,2907.48
20,2420.27,2520.53,3021.16
21,2420.27,2508.63,3102.79
22,2400.73,2432.88,2828.66
23,2400.73,2466.57,3016.44
24,2386.75,2491.37,3124.41
25,2386.75,2468.68,3016.44
26,2381.58,2450.92,3134.68
27,2363.95,2473.75,3016.44
28,2330.43,2407.82,3001.91
29,2330.43,2463.12,3061.36
30,2330.43,2430.08,3011.94
31,2330.43,2359.08,2787.19
32,2330.43,2344.40,2872.42
33,2330.43,2345.42,2833.11
34,2330.43,2347.56,2924.25
35,2330.43,2358.37,2876.45
36,2311.95,2360.87,2819.05
37,2311.95,2360.21,3049.36
38,2306.90,2384.71,3071.37
39,2301.14,2347.27,2994.69
40,2270.73,2383.34,3022.35
41,2264.79,2431.01,3059.92
42,2254.10,2403.67,3035.11
43,2249.05,2395.51,3021.63
44,2249.05,2316.12,2920.75
45,2214.28,2283.66,3033.00
46,2210.66,2297.06,2926.90
47,2210.66,2368.31,2822.96
48,2210.66,2251.41,2682.21
49,2209.83,2235.24,2665.01
50,2209.83,2241.85,2816.52
51,2209.83,2242.62,2733.89
52,2209.83,2236.59,2784.83
53,2209.83,2232.27,2662.93
54,2209.83,2231.79,2886.84
55,2209.83,2232.41,2758.31
56,2209.83,2233.75,2714.29
57,2209.83,2235.60,3010.69
58,2209.83,2218.27,2445.33
59,2209.83,2235.53,2771.27
60,2209.83,2245.57,2840.61
61,2209.83,2222.99,2860.97
62,2209.83,2229.50,2864.22
63,2207.81,2238.66,2657.43
64,2207.81,2238.32,3014.53
65,2175.02,2279.74,2973.47
66,2175.02,2335.74,2891.56
67,2175.02,2305.05,2962.94
68,2175.02,2279.17,2969.87
69,2175.02,2204.28,2691.41
70,2175.02,2200.92,2795.97
71,2175.02,2194.41,2705.91
72,2175.02,2189.28,2572.90
73,2175.02,2188.65,2798.54
74,2132.44,2201.71,2805.63
75,2113.75,2217.73,3039.42
76,2113.75,2216.43,2720.37
77,2102.11,2216.78,2786.01
78,2089.77,2173.29,2779.79
79,2077.26,2271.14,2849.27
80,2059.07,2259.82,3089.76
81,2059.07,2337.57,3014.97
82,2043.07,2226.20,2878.93
83,2043.07,2159.21,2670.82
84,2043.07,2111.97,2758.28
85,2043.07,2066.20,2614.99
86,2034.83,2060.15,2461.29
87,2034.83,2093.59,2725.69
88,2034.83,2152.32,2778.07
89,2034.83,2062.66,2569.15
90,2034.83,2048.40,2449.57
91,2034.83,2060.03,2518.52
92,2034.83,2052.59,2635.36
93,2034.20,2065.76,2582.07
94,2034.20,2053.43,2488.53
