Generation,Best,Average,Worst
0,3038.99,3567.22,4193.88
1,2939.63,3476.02,4109.74
2,2928.57,3404.09,3948.10
3,2865.96,3360.47,3912.78
4,2836.96,3311.39,3879.94
5,2754.37,3267.44,3827.73
6,2741.40,3234.78,3767.30
7,2738.86,3199.76,3785.67
8,2678.25,3178.43,3799.14
9,2547.02,3137.73,3740.35
10,2547.02,3114.67,3733.99
11,2547.02,3070.90,3666.67
12,2547.02,3054.37,3569.53
13,2473.71,3039.91,3803.09
14,2473.71,3035.75,3679.12
15,2473.71,3019.36,3575.38
16,2473.71,2992.70,3624.21
17,2438.80,2975.32,3547.77
18,2394.05,2948.76,3533.87
19,2394.05,2927.82,3495.93
20,2353.32,2908.38,3514.18
21,2353.32,2859.96,3632.14
22,2321.89,2830.85,3488.04
23,2268.22,2778.84,3391.96
24,2268.22,2737.79,3251.33
25,2268.22,2701.27,3416.98
26,2240.31,2682.44,3251.90
27,2240.31,2669.98,3199.44
28,2179.83,2655.10,3202.16
29,2179.83,2658.26,3260.80
30,2179.83,2649.97,3122.04
31,2167.21,2630.26,3257.72
32,2142.38,2612.35,3119.75
33,2091.98,2598.62,3180.54
34,2091.98,2587.45,3097.43
35,2091.98,2566.42,3038.42
36,2085.34,2559.81,3096.40
37,2085.34,2551.05,3104.59
38,2085.34,2545.91,3076.18
39,2085.34,2532.19,3124.83
40,2085.34,2522.00,3150.26
41,2085.34,2525.69,3080.02
42,2085.34,2520.64,3081.14
43,2085.34,2523.20,3025.89
44,2079.96,2511.49,3054.60
45,2006.55,2492.12,3143.90
46,1958.81,2493.65,3046.52
47,1958.81,2484.01,3021.23
48,1958.81,2471.56,3086.77
49,1958.81,2462.55,3061.50
