Generation,Best,Average,Worst
0,3108.41,3518.21,4186.40
1,2898.52,3400.18,4034.75
2,2898.52,3318.19,3876.45
3,2848.64,3257.10,3785.55
4,2837.22,3193.87,3797.35
5,2789.46,3146.89,3811.31
6,2734.08,3086.76,3634.92
7,2688.39,3024.22,3749.21
8,2688.39,3008.85,3772.55
9,2615.09,2960.13,3649.39
10,2596.25,2902.02,3573.58
11,2543.09,2841.78,3516.30
12,2543.09,2786.18,3615.13
13,2543.09,2746.36,3500.12
14,2543.09,2742.94,3565.70
15,2476.10,2769.27,3478.65
16,2402.98,2772.62,3560.15
17,2402.98,2738.11,3401.27
18,2333.88,2721.48,3492.00
19,2333.88,2674.84,3397.05
20,2328.42,2623.18,3405.51
21,2277.42,2540.97,3210.03
22,2242.75,2491.10,3279.93
23,2228.49,2443.17,3207.69
24,2181.31,2450.23,3238.62
25,2181.31,2419.60,3120.88
26,2181.31,2392.64,3126.52
27,2181.31,2334.51,3050.78
28,2150.23,2265.85,3220.51
29,2131.76,2203.67,2807.18
30,2125.14,2219.53,2913.67
31,2107.78,2251.76,2969.06
32,2099.45,2238.29,3029.24
33,2076.70,2252.31,2907.17
34,2045.38,2287.97,2949.94
35,2044.40,2282.56,2897.41
36,2013.07,2225.15,3094.38
37,2013.07,2221.18,2954.05
38,1992.40,2172.49,3082.40
39,1985.52,2147.71,2995.55
40,1972.03,2056.74,2798.94
41,1972.03,2095.48,2974.98
42,1972.03,2104.90,2829.97
43,1972.03,2082.21,2771.02
44,1956.54,2101.04,2932.38
45,1956.54,2003.30,2740.96
46,1956.54,2020.98,2735.23
47,1946.95,2076.52,2750.82
48,1946.95,2011.58,2769.95
49,1944.79,1979.22,2635.78
50,1936.81,2003.06,2822.12
51,1934.46,1994.60,2823.07
52,1925.06,2004.99,2726.59
53,1922.72,2021.66,2794.69
54,1922.72,2020.69,2836.59
55,1910.99,2029.31,2880.90
56,1910.99,2007.34,2843.56
57,1908.09,2012.90,2797.35
58,1901.37,2051.12,2965.41
59,1899.22,2043.39,2981.18
60,1895.90,2042.91,2934.81
61,1878.98,2039.41,2934.91
62,1878.98,2043.35,2878.64
63,1862.81,2036.83,2944.63
64,1862.81,2012.94,2846.81
65,1852.81,1950.61,2738.80
66,1852.81,1973.31,2822.97
67,1846.51,1941.57,2688.32
68,1846.51,1914.02,2673.29
69,1831.33,1899.79,2712.45
70,1831.33,1927.11,2707.25
