Generation,Best,Average,Worst
0,3132.63,3597.91,4091.88
1,3027.19,3538.64,4042.43
2,3027.19,3491.33,3924.41
3,2924.91,3446.26,3958.25
4,2920.06,3395.46,3884.03
5,2903.16,3374.07,3926.68
6,2886.68,3320.68,3804.54
7,2811.45,3283.21,3766.45
8,2811.45,3259.52,3785.91
9,2811.45,3225.38,3742.62
10,2717.53,3200.03,3703.32
11,2704.32,3183.80,3803.78
12,2699.95,3160.73,3859.93
13,2650.72,3130.59,3704.85
14,2514.98,3125.23,3730.51
15,2514.98,3116.81,3613.68
16,2514.98,3097.82,3612.17
17,2514.98,3077.34,3683.25
18,2514.98,3061.66,3562.68
19,2514.98,3057.22,3677.93
20,2509.49,3050.35,3537.20
21,2509.49,3021.47,3620.00
22,2509.49,2993.02,3608.18
23,2509.49,2998.06,3600.70
24,2509.49,2985.71,3558.04
25,2504.33,2978.33,3549.00
26,2504.33,2956.42,3451.50
27,2448.36,2940.54,3639.62
28,2448.36,2897.20,3470.74
29,2448.36,2860.66,3362.68
30,2448.36,2851.00,3350.79
31,2448.36,2867.23,3411.71
32,2448.36,2859.68,3470.80
33,2429.11,2839.53,3384.32
34,2429.11,2855.85,3454.26
35,2429.11,2854.20,3555.39
36,2429.11,2860.31,3273.63
37,2419.17,2874.67,3432.40
38,2419.17,2875.68,3402.38
39,2383.94,2876.72,3600.74
40,2383.94,2870.52,3465.53
41,2383.94,2891.47,3536.80
42,2383.94,2902.82,3408.46
43,2383.94,2895.35,3397.88
44,2383.94,2871.61,3409.65
45,2383.94,2877.28,3374.43
46,2383.72,2894.89,3379.21
47,2383.72,2896.04,3467.07
48,2383.72,2880.21,3370.35
49,2383.72,2864.81,3440.86
50,2383.72,2843.28,3489.61
51,2383.72,2820.84,3360.63
52,2383.72,2817.29,3497.36
53,2383.72,2801.84,3430.13
54,2383.72,2796.94,3371.48
55,2376.99,2792.44,3458.00
56,2376.99,2770.97,3412.84
57,2373.76,2734.81,3369.11
58,2373.76,2732.96,3345.31
59,2373.76,2744.95,3325.82
60,2361.68,2731.77,3353.54
61,2344.05,2737.47,3314.01
62,2271.89,2742.15,3216.89
63,2255.30,2737.27,3371.30
64,2255.30,2742.21,3271.74
65,2255.30,2736.74,3231.48
66,2255.30,2739.08,3338.14
67,2255.30,2757.70,3411.14
68,2255.30,2759.45,3464.43
69,2251.13,2749.19,3431.17
70,2251.13,2739.46,3338.11
71,2251.13,2709.59,3268.05
72,2251.13,2701.52,3257.75
73,2251.13,2684.91,3311.07
74,2251.13,2689.69,3284.11
75,2248.59,2682.61,3280.80
76,2248.59,2669.31,3269.49
77,2237.73,2654.82,3285.45
78,2237.73,2625.04,3284.92
79,2237.73,2631.50,3244.04
80,2237.73,2615.63,3304.69
81,2237.73,2587.17,3336.58
82,2227.94,2579.17,3333.82
83,2227.94,2544.95,3252.93
84,2227.94,2522.67,3196.77
85,2227.94,2519.85,3234.57
86,2227.94,2522.25,3238.48
87,2205.17,2523.06,3168.78
88,2202.49,2523.16,3252.55
