Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,1460.66,1511.63,1483.45,17.80,246.055,50000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,1416.27,1490.38,1465.85,21.53,578.061,200000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1433.04,1479.42,1453.74,14.19,1950.475,400000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:3,1420.38,1479.57,1444.61,18.76,1568.246,200000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1393.90,1481.27,1444.75,28.83,5673.472,1000000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:3,1375.08,1420.80,1403.80,13.68,4182.792,800000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:3,1375.92,1434.53,1406.31,18.07,1727.104,400000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:3,1389.14,1465.02,1422.86,23.53,5886.657,1600000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,1386.58,1434.59,1407.56,18.67,3119.161,500000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:3,1392.10,1432.41,1414.08,11.54,40883.555,1600000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,1385.83,1454.45,1415.87,20.20,45718.927,2000000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:3,1398.81,1447.01,1421.99,14.80,50260.792,3200000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:3,1404.91,1498.98,1445.12,29.04,79075.761,4000000
