Config,Best,Worst,Average,StdDev,Time(s),Evaluations
pop:100 gen:50 Px:0.70 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,859.95,939.56,892.46,22.94,17.822,50000
pop:100 gen:200 Px:0.80 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,866.23,911.67,888.09,14.33,137.314,200000
pop:100 gen:400 Px:0.90 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,851.92,927.29,870.80,20.29,156.205,400000
pop:400 gen:50 Px:0.80 Pm:0.05 Tour:9 TOURNAMENT/OX/SWAP EC:3,852.54,873.69,864.19,7.05,194.754,200000
pop:100 gen:1000 Px:1.00 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,851.15,883.70,865.15,12.39,533.566,1000000
pop:800 gen:50 Px:0.90 Pm:0.10 Tour:5 TOURNAMENT/OX/SWAP EC:3,837.77,869.31,853.60,8.95,231.801,400000
pop:400 gen:200 Px:0.90 Pm:0.10 Tour:3 TOURNAMENT/OX/SWAP EC:3,833.84,861.35,850.43,8.32,666.449,800000
pop:400 gen:400 Px:1.00 Pm:0.01 Tour:5 TOURNAMENT/OX/SWAP EC:3,839.83,876.33,856.05,10.40,1215.871,1600000
pop:800 gen:200 Px:1.00 Pm:0.01 Tour:7 TOURNAMENT/OX/SWAP EC:3,845.28,870.13,855.49,6.70,2357.216,1600000
pop:1000 gen:50 Px:1.00 Pm:0.05 Tour:7 TOURNAMENT/OX/SWAP EC:3,836.87,864.32,847.98,8.18,2630.150,500000
pop:800 gen:400 Px:0.70 Pm:0.03 Tour:9 TOURNAMENT/OX/SWAP EC:3,851.41,868.19,860.15,6.16,5646.119,3200000
pop:400 gen:1000 Px:0.70 Pm:0.03 Tour:7 TOURNAMENT/OX/SWAP EC:3,847.26,877.72,859.86,8.92,6187.856,4000000
pop:1000 gen:200 Px:0.70 Pm:0.10 Tour:9 TOURNAMENT/OX/SWAP EC:3,833.26,872.72,855.62,11.24,5248.681,2000000
pop:1000 gen:400 Px:0.80 Pm:0.01 Tour:3 TOURNAMENT/OX/SWAP EC:3,835.23,856.46,846.24,6.13,4974.137,4000000
pop:1000 gen:1000 Px:0.90 Pm:0.03 Tour:5 TOURNAMENT/OX/SWAP EC:3,834.63,875.66,851.93,13.13,41893.845,10000000
pop:800 gen:1000 Px:0.80 Pm:0.05 Tour:3 TOURNAMENT/OX/SWAP EC:3,837.77,856.11,847.24,5.04,45200.009,8000000
