Run,BestFitness
1,246.80
2,368.68
3,286.14
4,371.99
5,382.51
6,325.51
7,455.26
8,308.82
9,231.95
10,302.76

Summary
AverageFitness,328.04
BestOverall,231.95
WorstOverall,455.26
StdDeviation,64.29
