Run,BestFitness
1,287.39
2,297.16
3,367.18
4,366.60
5,306.37
6,402.63
7,367.28
8,376.03
9,326.27
10,298.93

Summary
AverageFitness,339.58
BestOverall,287.39
WorstOverall,402.63
StdDeviation,38.75
